# global_node  layer_id  local_node  bias
785 2 1 -2.4355471134185791e-01
786 2 2 -1.2827061116695404e-01
787 2 3 1.6217077150940895e-02
788 2 4 -2.1143868565559387e-02
789 2 5 1.1046223342418671e-01
790 2 6 1.0395029932260513e-01
791 2 7 -2.6171308755874634e-01
792 2 8 4.9221098423004150e-02
793 2 9 2.0837426185607910e-01
794 2 10 -6.1916980892419815e-02
795 2 11 -2.9965024441480637e-02
796 2 12 7.4894614517688751e-02
797 2 13 6.6755853593349457e-02
798 2 14 2.3779910057783127e-02
799 2 15 1.2378434091806412e-01
800 2 16 1.1999423056840897e-01
801 2 17 -4.4511690735816956e-02
802 2 18 1.6210097074508667e-01
803 2 19 2.4525493383407593e-02
804 2 20 5.1270790398120880e-02
805 2 21 -4.2068701237440109e-02
806 2 22 1.2052536010742188e-01
807 2 23 -2.6801090687513351e-02
808 2 24 1.8897305428981781e-01
809 2 25 -1.9456092268228531e-02
810 2 26 -1.7419446958228946e-03
811 2 27 -9.7090594470500946e-02
812 2 28 -1.0220977663993835e-01
813 2 29 1.0933224111795425e-01
814 2 30 -6.3198119401931763e-02
815 2 31 -1.3267088681459427e-02
816 2 32 1.1450420320034027e-01
817 2 33 -5.0261966884136200e-02
818 2 34 2.7654564380645752e-01
819 2 35 -1.2835310772061348e-02
820 2 36 -1.8074344098567963e-01
821 2 37 -1.8507958948612213e-01
822 2 38 -1.2897185981273651e-01
823 2 39 1.0335911996662617e-02
824 2 40 2.3526383936405182e-01
825 2 41 2.3291003704071045e-01
826 2 42 1.1567369103431702e-01
827 2 43 3.1133752316236496e-02
828 2 44 7.8961573541164398e-02
829 2 45 1.4301836490631104e-01
830 2 46 1.1145116388797760e-01
831 2 47 1.5004366636276245e-01
832 2 48 -2.6994306594133377e-02
833 2 49 1.0580410249531269e-02
834 2 50 -3.6718010902404785e-02
835 2 51 9.1006956994533539e-02
836 2 52 7.4062473140656948e-03
837 2 53 6.6510275006294250e-02
838 2 54 1.6659472882747650e-01
839 2 55 3.1702712178230286e-02
840 2 56 4.0265802294015884e-02
841 2 57 1.8098264932632446e-01
842 2 58 1.4847819507122040e-01
843 2 59 -3.6492366343736649e-02
844 2 60 2.5295317173004150e-01
845 2 61 -1.1327990889549255e-01
846 2 62 -1.1745566874742508e-01
847 2 63 2.9256713390350342e-01
848 2 64 3.3910728991031647e-02
849 2 65 4.0663000196218491e-02
850 2 66 1.1786121875047684e-01
851 2 67 -6.3342630863189697e-02
852 2 68 3.9702598005533218e-02
853 2 69 -5.9169359505176544e-02
854 2 70 8.9347779750823975e-02
855 2 71 1.9524753093719482e-01
856 2 72 -2.0049652457237244e-01
857 2 73 -6.4580775797367096e-02
858 2 74 6.1876941472291946e-02
859 2 75 -1.4749854803085327e-02
860 2 76 8.5198618471622467e-02
861 2 77 7.3443357832729816e-03
862 2 78 1.7646251618862152e-01
863 2 79 9.7920551896095276e-02
864 2 80 1.0950392112135887e-02
865 2 81 -1.9235245883464813e-02
866 2 82 -9.3271313235163689e-03
867 2 83 -4.4879307970404625e-03
868 2 84 -6.6215738654136658e-02
869 2 85 -6.4467370510101318e-02
870 2 86 8.1290431320667267e-02
871 2 87 7.3370069265365601e-02
872 2 88 -7.9383298754692078e-02
873 2 89 4.4008132070302963e-02
874 2 90 -1.3263218104839325e-01
875 2 91 6.1730295419692993e-02
876 2 92 1.0598141700029373e-01
877 2 93 -2.0327512174844742e-02
878 2 94 1.7256392538547516e-01
879 2 95 1.0622448474168777e-01
880 2 96 -1.6124840080738068e-01
881 2 97 6.4219683408737183e-02
882 2 98 1.3899324834346771e-01
883 2 99 5.5033184587955475e-02
884 2 100 -2.1870730817317963e-01
885 3 1 -3.2454973459243774e-01
886 3 2 2.8012058138847351e-01
887 3 3 4.3906658887863159e-02
888 3 4 -2.9539272189140320e-01
889 3 5 1.8990276753902435e-01
890 3 6 2.8024482727050781e-01
891 3 7 2.6495387777686119e-02
892 3 8 -4.0214616805315018e-02
893 3 9 -8.5940703749656677e-02
894 3 10 -9.9678322672843933e-02
