# global_node  layer_id  local_node  bias
785 2 1 4.5183491893112659e-03
786 2 2 -2.4651842191815376e-02
787 2 3 1.3233264908194542e-02
788 2 4 -9.2345578595995903e-03
789 2 5 3.0507717281579971e-02
790 2 6 -2.0712353289127350e-02
791 2 7 -6.7448683083057404e-02
792 2 8 -3.0204225331544876e-02
793 2 9 1.7007367312908173e-01
794 2 10 -4.9008466303348541e-03
795 2 11 -3.1684782356023788e-02
796 2 12 5.1011420786380768e-02
797 2 13 1.4418402314186096e-01
798 2 14 9.6612513065338135e-02
799 2 15 3.9596397429704666e-02
800 2 16 1.6549350321292877e-01
801 2 17 -1.2253682315349579e-01
802 2 18 1.3032922148704529e-01
803 2 19 -5.2127294242382050e-02
804 2 20 7.3447868227958679e-02
805 2 21 -7.6539561152458191e-02
806 2 22 -2.5203106924891472e-03
807 2 23 -1.3925570994615555e-02
808 2 24 6.7266538739204407e-02
809 2 25 -2.2154578939080238e-02
810 2 26 1.7354621086269617e-03
811 2 27 -5.2430119365453720e-02
812 2 28 -1.1071161180734634e-01
813 2 29 7.3030337691307068e-02
814 2 30 2.5441722944378853e-02
815 2 31 1.3740924187004566e-02
816 2 32 1.5748119354248047e-01
817 2 33 9.7149133682250977e-02
818 2 34 2.1180772781372070e-01
819 2 35 -4.6053562313318253e-02
820 2 36 -3.2971274107694626e-02
821 2 37 -7.7446818351745605e-02
822 2 38 3.2934080809354782e-02
823 2 39 4.0001064538955688e-02
824 2 40 5.5823948234319687e-02
825 2 41 9.4723798334598541e-02
826 2 42 2.3531856015324593e-02
827 2 43 1.7766881734132767e-02
828 2 44 1.3056419789791107e-01
829 2 45 1.4672829210758209e-01
830 2 46 1.1492154747247696e-01
831 2 47 6.0394514352083206e-02
832 2 48 1.2416199781000614e-02
833 2 49 8.3419280126690865e-03
834 2 50 -1.6455890610814095e-02
835 2 51 3.8724303245544434e-02
836 2 52 6.3724833307787776e-04
837 2 53 3.2856192439794540e-02
838 2 54 5.0973091274499893e-02
839 2 55 -5.9418760240077972e-02
840 2 56 2.0075852051377296e-02
841 2 57 8.0457940697669983e-02
842 2 58 1.0839534550905228e-01
843 2 59 2.2695150226354599e-02
844 2 60 2.0450325310230255e-01
845 2 61 5.2142217755317688e-02
846 2 62 -7.3428533971309662e-02
847 2 63 1.2065710127353668e-01
848 2 64 1.3801993429660797e-01
849 2 65 -1.0764854401350021e-01
850 2 66 -3.3588949590921402e-02
851 2 67 -4.0841985493898392e-02
852 2 68 -3.8438212126493454e-02
853 2 69 -4.2623069137334824e-02
854 2 70 2.1269984543323517e-02
855 2 71 7.6576247811317444e-02
856 2 72 -6.6510744392871857e-02
857 2 73 -6.3678219914436340e-02
858 2 74 7.2017833590507507e-02
859 2 75 1.4496942982077599e-02
860 2 76 7.0733450353145599e-02
861 2 77 -9.4530703499913216e-03
862 2 78 8.6049117147922516e-02
863 2 79 5.2113734185695648e-02
864 2 80 -9.6067413687705994e-02
865 2 81 -8.3826847374439240e-02
866 2 82 -6.2114070169627666e-03
867 2 83 -1.2626285664737225e-02
868 2 84 -4.7790680080652237e-02
869 2 85 -1.1643924750387669e-02
870 2 86 -7.3243498802185059e-02
871 2 87 1.2353717535734177e-01
872 2 88 -1.0161632671952248e-02
873 2 89 1.2255875766277313e-01
874 2 90 -8.4316261112689972e-02
875 2 91 3.1327743083238602e-02
876 2 92 7.7643960714340210e-02
877 2 93 7.9142265021800995e-02
878 2 94 4.2329266667366028e-02
879 2 95 2.0963492989540100e-01
880 2 96 6.2041893601417542e-02
881 2 97 -5.8888690546154976e-03
882 2 98 1.2219283729791641e-01
883 2 99 -2.3601172491908073e-02
884 2 100 -6.2153745442628860e-02
885 3 1 -2.2737276554107666e-01
886 3 2 2.6378229260444641e-01
887 3 3 3.4289136528968811e-02
888 3 4 -2.4868497252464294e-01
889 3 5 1.1207064241170883e-01
890 3 6 3.4665915369987488e-01
891 3 7 2.9929121956229210e-02
892 3 8 5.2669674158096313e-02
893 3 9 -3.1533360481262207e-01
894 3 10 -7.3095090687274933e-02
