# global_node  layer_id  local_node  bias
785 2 1 -8.9060626924037933e-03
786 2 2 -7.6287994161248207e-03
787 2 3 4.7995962202548981e-02
788 2 4 1.8403755500912666e-02
789 2 5 4.8253241926431656e-02
790 2 6 -1.7474386841058731e-02
791 2 7 5.2087929099798203e-02
792 2 8 5.7517774403095245e-02
793 2 9 -4.5387097634375095e-03
794 2 10 5.3204260766506195e-02
795 2 11 2.9576154425740242e-02
796 2 12 4.9433570355176926e-02
797 2 13 6.1305845156311989e-03
798 2 14 5.2854508161544800e-02
799 2 15 -1.0251548141241074e-01
800 2 16 5.6501541286706924e-02
801 2 17 -1.0597623884677887e-02
802 2 18 1.2799252755939960e-02
803 2 19 -8.5433200001716614e-03
804 2 20 5.3703337907791138e-02
805 2 21 3.4811686724424362e-02
806 2 22 1.8130501732230186e-02
807 2 23 -1.4451420865952969e-02
808 2 24 -4.4552073813974857e-03
809 2 25 5.5275458842515945e-02
810 2 26 -1.6833767294883728e-02
811 2 27 1.1721260100603104e-01
812 2 28 1.5075232833623886e-02
813 2 29 -5.8391727507114410e-02
814 2 30 -3.4700792282819748e-02
815 2 31 4.5169726014137268e-02
816 2 32 3.5803418606519699e-02
817 2 33 -1.6241058707237244e-02
818 2 34 -1.2607978424057364e-03
819 2 35 -2.5533577427268028e-02
820 2 36 -4.2808321304619312e-03
821 2 37 1.1758751934394240e-03
822 2 38 1.5188585966825485e-03
823 2 39 2.8852973133325577e-02
824 2 40 5.0861943513154984e-02
825 2 41 9.2904113233089447e-02
826 2 42 -2.1758098155260086e-02
827 2 43 9.0118981897830963e-02
828 2 44 -2.5076838210225105e-02
829 2 45 2.9629994183778763e-02
830 2 46 4.0909606963396072e-02
831 2 47 3.7015803158283234e-02
832 2 48 2.6377476751804352e-02
833 2 49 5.9866700321435928e-02
834 2 50 6.9740287959575653e-02
835 2 51 2.2513182833790779e-02
836 2 52 3.2520189881324768e-02
837 2 53 2.8327802196145058e-02
838 2 54 -2.4922812357544899e-02
839 2 55 -3.4876048564910889e-02
840 2 56 1.1386827565729618e-02
841 2 57 3.1427934765815735e-02
842 2 58 -2.4735566228628159e-02
843 2 59 4.2866606265306473e-02
844 2 60 -3.6708217114210129e-02
845 2 61 -2.7720119804143906e-02
846 2 62 1.0063733905553818e-01
847 2 63 -1.8428165465593338e-02
848 2 64 9.7791524603962898e-04
849 2 65 1.6253909096121788e-02
850 2 66 2.7294833213090897e-02
851 2 67 -6.3293040730059147e-03
852 2 68 7.1617881767451763e-03
853 2 69 2.8081910684704781e-02
854 2 70 -8.5872756317257881e-03
855 2 71 -9.6885912353172898e-04
856 2 72 -3.9427179843187332e-02
857 2 73 2.5173606351017952e-02
858 2 74 -1.6248963773250580e-02
859 2 75 8.5272610187530518e-02
860 2 76 4.4821310788393021e-02
861 2 77 4.1556447744369507e-02
862 2 78 -3.4991882741451263e-02
863 2 79 3.6543151363730431e-03
864 2 80 9.1089636087417603e-02
865 2 81 6.2253391370177269e-03
866 2 82 5.7085156440734863e-03
867 2 83 3.0765196308493614e-02
868 2 84 -5.6390496902167797e-03
869 2 85 9.1327443718910217e-02
870 2 86 -1.8773747608065605e-02
871 2 87 1.4356398023664951e-02
872 2 88 -3.5847146064043045e-02
873 2 89 2.5872129946947098e-02
874 2 90 -7.6947763562202454e-02
875 2 91 -2.7862140908837318e-02
876 2 92 -2.1992281079292297e-02
877 2 93 1.9751861691474915e-02
878 2 94 1.0171013884246349e-02
879 2 95 -1.0611250996589661e-02
880 2 96 -8.8692056015133858e-03
881 2 97 1.1545524932444096e-02
882 2 98 4.9213282763957977e-03
883 2 99 -7.7724251896142960e-03
884 2 100 8.3146497607231140e-02
885 2 101 6.2242592684924603e-03
886 2 102 8.3285413682460785e-02
887 2 103 8.6037092842161655e-04
888 2 104 -4.6914737671613693e-02
889 2 105 8.2296421751379967e-03
890 2 106 -1.6685796435922384e-03
891 2 107 4.7602094709873199e-02
892 2 108 2.6447240263223648e-02
893 2 109 -4.2411509901285172e-02
894 2 110 3.9401594549417496e-02
895 2 111 9.6888385713100433e-02
896 2 112 7.3931954801082611e-02
897 2 113 3.7901401519775391e-02
898 2 114 -8.2056991755962372e-02
899 2 115 -1.1654556728899479e-02
900 2 116 -4.1538801044225693e-02
901 2 117 3.6886602640151978e-02
902 2 118 6.6115264780819416e-03
903 2 119 8.9803710579872131e-03
904 2 120 -9.5121506601572037e-03
905 2 121 -1.2147977016866207e-02
906 2 122 3.3475924283266068e-02
907 2 123 4.8437692224979401e-02
908 2 124 3.4622877836227417e-02
909 2 125 2.3821354843676090e-03
910 2 126 2.5914194993674755e-03
911 2 127 4.5643161982297897e-02
912 2 128 5.9878569096326828e-02
913 2 129 -5.9121139347553253e-03
914 2 130 2.6748951524496078e-02
915 2 131 3.5191938281059265e-02
916 2 132 -2.2778935730457306e-02
917 2 133 4.9870278686285019e-02
918 2 134 -1.5618268400430679e-02
919 2 135 2.0403532311320305e-02
920 2 136 7.4917040765285492e-03
921 2 137 1.0582881979644299e-02
922 2 138 2.9638215899467468e-02
923 2 139 -1.2409929186105728e-02
924 2 140 3.3302225172519684e-02
925 2 141 4.3932686094194651e-04
926 2 142 -6.7170284688472748e-02
927 2 143 -2.9493175446987152e-02
928 2 144 4.6202469617128372e-02
929 2 145 8.7372466921806335e-02
930 2 146 1.0627591051161289e-02
931 2 147 1.2189940549433231e-02
932 2 148 4.5740678906440735e-02
933 2 149 3.8914948701858521e-02
934 2 150 3.3861484378576279e-02
935 2 151 -2.5447494408581406e-05
936 2 152 1.8507460132241249e-02
937 2 153 5.4630666971206665e-02
938 2 154 -8.4904506802558899e-03
939 2 155 6.1468896456062794e-03
940 2 156 1.6455801203846931e-02
941 2 157 -1.2268640100955963e-02
942 2 158 -6.2265507876873016e-02
943 2 159 1.4782935380935669e-02
944 2 160 -2.3753546178340912e-02
945 2 161 -4.4066999107599258e-02
946 2 162 5.0581499934196472e-02
947 2 163 -9.2860881704837084e-04
948 2 164 5.3774192929267883e-02
949 2 165 5.5635124444961548e-02
950 2 166 2.4894566740840673e-03
951 2 167 4.2480346746742725e-03
952 2 168 -4.1690836660563946e-03
953 2 169 8.2242719829082489e-02
954 2 170 7.3992662131786346e-02
955 2 171 4.0351796895265579e-02
956 2 172 4.6847525984048843e-02
957 2 173 1.0499262250959873e-02
958 2 174 2.0373497158288956e-02
959 2 175 3.1223885715007782e-02
960 2 176 -1.9094098359346390e-02
961 2 177 -9.3688294291496277e-03
962 2 178 5.1555410027503967e-02
963 2 179 1.0875385254621506e-01
964 2 180 9.8241962492465973e-02
965 2 181 -4.4571321457624435e-02
966 2 182 -4.2182743549346924e-02
967 2 183 -3.6832429468631744e-03
968 2 184 4.2300891131162643e-02
969 2 185 5.6500475853681564e-02
970 2 186 1.8081599846482277e-02
971 2 187 2.4244038388133049e-02
972 2 188 -3.2912797760218382e-03
973 2 189 9.0077407658100128e-02
974 2 190 -2.9037417843937874e-02
975 2 191 2.4190586060285568e-02
976 2 192 -1.2136762030422688e-02
977 2 193 1.2866753153502941e-02
978 2 194 6.8056434392929077e-02
979 2 195 -2.1998941898345947e-02
980 2 196 1.7092000693082809e-02
981 2 197 5.5990862892940640e-04
982 2 198 -1.6597881913185120e-02
983 2 199 -2.1780459210276604e-02
984 2 200 -1.5641987323760986e-02
985 2 201 1.2528060935437679e-02
986 2 202 6.6621348261833191e-02
987 2 203 -1.4069740660488605e-02
988 2 204 2.3467808961868286e-02
989 2 205 2.5088088586926460e-02
990 2 206 6.1034541577100754e-02
991 2 207 8.5756473243236542e-02
992 2 208 -2.6984386146068573e-02
993 2 209 1.6689673066139221e-02
994 2 210 1.4537406153976917e-02
995 2 211 1.4340618625283241e-02
996 2 212 3.2979052513837814e-02
997 2 213 1.7455957829952240e-02
998 2 214 -1.7588919028639793e-02
999 2 215 -5.4300706833600998e-02
1000 2 216 -3.7271019071340561e-02
1001 2 217 -5.3666017949581146e-02
1002 2 218 3.7832826375961304e-02
1003 2 219 4.2725827544927597e-02
1004 2 220 -4.9926504492759705e-02
1005 2 221 -1.1193690821528435e-02
1006 2 222 6.7169051617383957e-03
1007 2 223 7.9411767423152924e-02
1008 2 224 -2.8420135378837585e-02
1009 2 225 -1.8206497188657522e-03
1010 2 226 8.2062341272830963e-02
1011 2 227 1.5861263498663902e-02
1012 2 228 6.3381098210811615e-02
1013 2 229 -8.1836694153025746e-04
1014 2 230 6.8779617547988892e-02
1015 2 231 -5.2708558738231659e-02
1016 2 232 -6.6016484051942825e-03
1017 2 233 1.0771091282367706e-01
1018 2 234 -2.0341088995337486e-02
1019 2 235 1.8193537369370461e-02
1020 2 236 -8.6473813280463219e-03
1021 2 237 -3.6531254649162292e-02
1022 2 238 1.7768618417903781e-03
1023 2 239 1.2315302155911922e-03
1024 2 240 -1.6238529235124588e-02
1025 2 241 9.5833409577608109e-03
1026 2 242 -1.1048818938434124e-02
1027 2 243 -2.8914274647831917e-02
1028 2 244 -1.9958944991230965e-02
1029 2 245 3.2657887786626816e-02
1030 2 246 2.5071525946259499e-02
1031 2 247 -5.5737062357366085e-03
1032 2 248 5.5563736706972122e-02
1033 2 249 1.1252411641180515e-02
1034 2 250 -5.2516747266054153e-02
1035 2 251 3.5488016903400421e-02
1036 2 252 -2.3386534303426743e-02
1037 2 253 3.7550486624240875e-02
1038 2 254 2.9973503202199936e-02
1039 2 255 2.3313518613576889e-02
1040 2 256 2.3527694866061211e-02
1041 3 1 -1.3450929522514343e-01
1042 3 2 9.1958478093147278e-02
1043 3 3 2.5927864015102386e-02
1044 3 4 -1.3958244025707245e-01
1045 3 5 4.9388907849788666e-02
1046 3 6 1.4031846821308136e-01
1047 3 7 -6.3038907945156097e-02
1048 3 8 7.3775373399257660e-02
1049 3 9 -2.0424414426088333e-02
1050 3 10 -2.3819981142878532e-02
