shuffle_id,status,max_real_part,min_kappa_in,min_kappa_out
1,stable,-2.929561171738897,-4.070438828261103,-2.089924853571574
2,stable,-2.299010280607035,-4.700989719392965,-2.311203814228065
3,stable,-3.816257648020837,-3.183742351979163,-2.260093548564328
4,stable,-2.668550516074902,-4.331449483925098,-2.702989522833377
5,stable,-2.381847314085462,-4.618152685914538,-2.187387331214268
6,stable,-3.579232209434849,-3.420767790565151,-2.717383441588026
7,stable,-3.561532146130048,-3.438467853869952,-2.586484813247807
8,stable,-3.854670000589977,-3.145329999410023,-1.976394184202945
9,stable,-3.705880819827144,-3.294119180172856,-2.391389220836572
10,stable,-3.293056466893177,-3.706943533106823,-2.421120447805151
11,stable,-2.393688128831855,-4.606311871168145,-2.219086276862072
12,stable,-3.638356870244024,-3.361643129755976,-2.075000962591730
13,stable,-3.054821590884785,-3.945178409115215,-2.306360044982284
14,stable,-3.110294439742574,-3.889705560257426,-2.016080809509731
15,stable,-4.482490802271059,-2.517509197728941,-2.839286691721099
16,stable,-1.793418370016298,-5.206581629983702,-2.718975249703362
17,stable,-2.889081683977565,-4.110918316022435,-2.496462252922356
18,stable,-1.408105995378719,-5.591894004621281,-2.820527733885683
19,stable,-2.787271641966072,-4.212728358033928,-3.111743540594034
20,stable,-4.181538960951002,-2.818461039048998,-2.735854579485022
21,stable,-2.624541657153713,-4.375458342846287,-2.675813647336327
22,stable,-2.769691559835337,-4.230308440164663,-2.650255934291636
23,stable,-.6823413279853412,-6.317658672014659,-2.009295117808506
24,stable,-3.074211630330865,-3.925788369669135,-2.480056896612950
25,stable,-3.288241777009262,-3.711758222990738,-2.835658928903285
26,stable,-2.662540215413173,-4.337459784586827,-2.193343568760611
27,stable,-2.972344232228352,-4.027655767771648,-2.449243471026421
28,stable,-2.369638857160680,-4.630361142839320,-2.599749707034789
29,unstable,.1388351626228541,-7.138835162622854,-1.996374321824987
30,stable,-.9130929489037953,-6.086907051096205,-2.147625697187323
31,stable,-2.822770963328821,-4.177229036671179,-2.829679827904329
32,stable,-2.290484115123036,-4.709515884876964,-2.420184187823907
33,stable,-2.021049591661722,-4.978950408338278,-2.418569809524342
34,stable,-2.690546202524274,-4.309453797475726,-2.502930608694442
35,stable,-2.694456892324524,-4.305543107675476,-2.690078274514235
36,stable,-3.915216873763711,-3.084783126236289,-2.701034851721488
37,stable,-2.329657339825644,-4.670342660174356,-2.144559182976082
38,stable,-4.359771521514631,-2.640228478485369,-2.664097805158235
39,stable,-2.982913112409733,-4.017086887590267,-2.665684754560061
40,stable,-3.160177534220566,-3.839822465779434,-2.125254587503150
41,stable,-2.838150807277998,-4.161849192722002,-2.443874604417942
42,stable,-3.367936303548049,-3.632063696451951,-2.449522348993924
43,stable,-3.131430412715417,-3.868569587284583,-2.279472983322194
44,stable,-3.258663453891131,-3.741336546108869,-2.029663246416021
45,stable,-4.324933301755664,-2.675066698244336,-2.407558064733166
46,stable,-3.337950409506448,-3.662049590493552,-2.582017009815900
47,stable,-.9226011569262482,-6.077398843073752,-2.220938855505665
48,stable,-3.620644452639681,-3.379355547360319,-2.319909814425046
49,stable,-2.299746448154110,-4.700253551845890,-3.205463949241675
50,stable,-1.658844536665129,-5.341155463334871,-2.000296838989016
51,stable,-3.019052746842135,-3.980947253157865,-1.974123986350605
52,stable,-3.384392179119459,-3.615607820880541,-2.279107849084539
53,stable,-3.988270300659224,-3.011729699340776,-2.714143671793863
54,stable,-4.388415034889476,-2.611584965110524,-2.612198535352945
55,stable,-3.224349105280453,-3.775650894719547,-2.521110344678164
56,stable,-4.511749128183510,-2.488250871816490,-2.792194660345558
57,stable,-2.985185569662008,-4.014814430337992,-2.022972156293690
58,stable,-1.889238281267808,-5.110761718732192,-2.481652707487228
59,stable,-3.946575005211344,-3.053424994788656,-2.135226194994175
60,stable,-3.244208525600698,-3.755791474399302,-2.559082071296871
61,stable,-3.073928217223511,-3.926071782776489,-2.389483175880741
62,stable,-2.094724857626716,-4.905275142373284,-2.529528801329434
63,stable,-3.663429593558249,-3.336570406441751,-2.234035337576643
64,stable,-3.915112550686899,-3.084887449313101,-2.713488988869358
65,stable,-3.529974834105815,-3.470025165894185,-2.329200865904568
66,stable,-2.466005228201539,-4.533994771798461,-2.531139467610046
67,stable,-2.157815146332723,-4.842184853667277,-2.161481655901298
68,stable,-1.731595664634369,-5.268404335365631,-2.655807014663878
69,stable,-2.776105772811206,-4.223894227188794,-2.912289644125849
70,stable,-2.855770907932310,-4.144229092067690,-2.498406647529919
71,stable,-2.525327061780445,-4.474672938219555,-2.164318770024693
72,stable,-3.852463191582501,-3.147536808417499,-2.971665260498412
73,stable,-3.603874224587344,-3.396125775412656,-2.922853785552434
74,stable,-3.930112657413702,-3.069887342586298,-2.366598340217024
75,stable,-1.823095895226288,-5.176904104773712,-2.247983922366984
76,stable,-3.737559375045748,-3.262440624954252,-2.181368714373093
77,stable,-1.074267593779950,-5.925732406220050,-3.312783973757178
78,stable,-3.496870404873334,-3.503129595126666,-2.380290064065775
79,stable,-3.510199475338595,-3.489800524661405,-1.986919622111600
80,stable,-3.229865262352178,-3.770134737647822,-2.667634804442059
81,stable,-.7470249408506788,-6.252975059149321,-2.662686076771934
82,stable,-1.621965995280334,-5.378034004719666,-2.721058165974682
83,stable,-2.824066116845643,-4.175933883154357,-2.464203175302828
84,stable,-1.485154245223384,-5.514845754776616,-1.777848161989823
85,stable,-2.471147192336502,-4.528852807663498,-2.447447714293958
86,stable,-2.263064969631159,-4.736935030368841,-2.347528492158744
87,stable,-3.703839757268724,-3.296160242731276,-1.785449267044896
88,stable,-2.381753227920854,-4.618246772079146,-2.377861491913791
89,stable,-3.191228260606294,-3.808771739393706,-2.335280248640629
90,stable,-2.613203385284578,-4.386796614715422,-2.474962934618816
91,stable,-2.192488870496163,-4.807511129503837,-2.989486703299917
92,stable,-3.916901788477844,-3.083098211522156,-2.229611739097891
93,stable,-2.642266837983698,-4.357733162016302,-2.172357981035020
94,stable,-2.433711442041385,-4.566288557958615,-2.213301656505791
95,stable,-3.763885203698010,-3.236114796301990,-2.199812878450757
96,stable,-3.604224803755642,-3.395775196244358,-2.118282201263355
97,stable,-4.103137749016241,-2.896862250983759,-2.475507522351108
98,stable,-3.885142662475573,-3.114857337524427,-2.467033325112425
99,stable,-3.717386512067606,-3.282613487932394,-2.922918005759129
100,stable,-1.774201000742323,-5.225798999257677,-2.578665598121006
101,stable,-1.566910209850903,-5.433089790149097,-2.567820659867721
102,stable,-2.647814222589659,-4.352185777410341,-2.417328097275458
103,stable,-1.170757293872157,-5.829242706127843,-2.320740087394370
