shuffle_id,status,max_real_part,min_kappa_in,min_kappa_out
1,stable,-2.100941149339633,-2.899058850660367,-1.215896024426911
2,stable,-2.306458123354787,-2.693541876645213,-1.357173885509837
3,stable,-3.727863209249335,-1.272136790750665,-1.391628578188829
4,stable,-2.428415121670696,-2.571584878329304,-1.750771863880800
5,stable,-2.073414441676505,-2.926585558323495,-1.329805024935922
6,stable,-2.871464923489839,-2.128535076510161,-1.497026454773732
7,stable,-3.094493487164073,-1.905506512835927,-1.385595040483167
8,stable,-3.562253996999061,-1.437746003000939,-1.233843900903594
9,stable,-2.710577283211933,-2.289422716788067,-1.437513742945157
10,stable,-2.870864528038965,-2.129135471961035,-1.477726270677522
11,stable,-2.758182291523553,-2.241817708476447,-1.401366775808128
12,stable,-3.121402085744194,-1.878597914255806,-1.215069951605983
13,stable,-2.999724111587057,-2.000275888412943,-1.311182588397060
14,stable,-3.495404410654373,-1.504595589345627,-1.490901958111863
15,stable,-3.652372220392863,-1.347627779607137,-1.359648541751085
16,stable,-2.272298090523691,-2.727701909476309,-1.759915250891936
17,stable,-2.812474394711899,-2.187525605288101,-1.652792894397862
18,stable,-.7313189730912200,-4.268681026908780,-1.666805120767094
19,stable,-3.258906606941309,-1.741093393058691,-2.060276534000877
20,stable,-3.529554592081695,-1.470445407918305,-1.690455672563985
21,stable,-3.110144608181145,-1.889855391818855,-1.349293422909795
22,stable,-2.682759703544434,-2.317240296455566,-1.468478505994426
23,stable,-1.824134010381385,-3.175865989618615,-1.211627765505909
24,stable,-3.009612672060030,-1.990387327939970,-1.373586458254977
25,stable,-2.669481061195256,-2.330518938804744,-1.702553918206831
26,stable,-2.601230382600988,-2.398769617399012,-1.301065981679130
27,stable,-2.517669194006885,-2.482330805993115,-1.321626157296123
28,stable,-2.365069457193385,-2.634930542806615,-1.429269883199595
29,stable,-1.882287138769243,-3.117712861230757,-1.094775464385748
30,stable,-1.413061990253482,-3.586938009746518,-1.455676962879807
31,stable,-3.072816108276129,-1.927183891723871,-1.515767430653796
32,stable,-1.985014286929982,-3.014985713070018,-1.995297321854196
33,stable,-2.234391321457224,-2.765608678542776,-1.498906014749082
34,stable,-2.571329551399685,-2.428670448600315,-1.529345468967222
35,stable,-2.713473943978897,-2.286526056021103,-1.667965365923010
36,stable,-3.601009603302373,-1.398990396697627,-1.455488627427258
37,stable,-1.945129345935129,-3.054870654064871,-1.477791390600032
38,stable,-2.812145723029971,-2.187854276970029,-1.553715770802228
39,stable,-2.619216166869592,-2.380783833130408,-1.538146585982759
40,stable,-3.324913006684710,-1.675086993315290,-1.346489110554103
41,stable,-2.490716967367916,-2.509283032632084,-1.566241988672118
42,stable,-3.343822441660450,-1.656177558339550,-1.494380763615482
43,stable,-2.774933193302786,-2.225066806697214,-1.512744447827572
44,stable,-2.928923996753156,-2.071076003246844,-1.321557073970325
45,stable,-3.076322107075384,-1.923677892924616,-1.378308928571641
46,stable,-2.307760639887420,-2.692239360112580,-1.713362094742479
47,stable,-2.017258708354348,-2.982741291645652,-1.472972336690873
48,stable,-2.896390821695604,-2.103609178304396,-1.286941783531802
49,stable,-2.645003029823783,-2.354996970176217,-2.009600583172869
50,stable,-1.982759088583407,-3.017240911416593,-1.226389594186912
51,stable,-2.610734980029520,-2.389265019970480,-1.310687436343869
52,stable,-2.844453947247530,-2.155546052752470,-1.743887362768874
53,stable,-2.960572661395418,-2.039427338604582,-1.713760431797709
54,stable,-2.396058229507616,-2.603941770492384,-1.318335799849592
55,stable,-3.409270899390322,-1.590729100609678,-1.570109331281856
56,stable,-2.902957078506006,-2.097042921493994,-1.659023322979920
57,stable,-2.156503448641161,-2.843496551358839,-1.277933323988691
58,stable,-3.145232138043866,-1.854767861956134,-1.550688683237240
59,stable,-3.197846007225053,-1.802153992774947,-1.297438897983739
60,stable,-2.791782568703638,-2.208217431296362,-1.715369349927641
61,stable,-2.333997597048437,-2.666002402951563,-1.674701009411365
62,stable,-2.751215932614286,-2.248784067385714,-1.390279827581253
63,stable,-2.691863045537502,-2.308136954462498,-1.423650487122359
64,stable,-2.432593746919338,-2.567406253080662,-1.721190679061692
65,stable,-2.865513287347312,-2.134486712652688,-1.551571774441982
66,stable,-2.366316937677766,-2.633683062322234,-1.529547529353295
67,stable,-2.300078713155017,-2.699921286844983,-1.248697408445878
68,stable,-2.627119656093782,-2.372880343906218,-1.708176568965428
69,stable,-3.033061622408013,-1.966938377591987,-1.388072155939881
70,stable,-1.697629437660908,-3.302370562339092,-1.489867201016750
71,stable,-2.691637366682698,-2.308362633317302,-1.203424128907500
72,stable,-3.485641140750886,-1.514358859249114,-1.628093267616350
73,stable,-2.852818254861631,-2.147181745138369,-1.928524625574937
74,stable,-3.046685225101101,-1.953314774898899,-1.825095687556313
75,stable,-1.852688267656049,-3.147311732343951,-1.299928353080759
76,stable,-3.072023314183753,-1.927976685816247,-1.308847308740951
77,stable,-1.759861867143627,-3.240138132856373,-2.006087520203437
78,stable,-3.645252515023458,-1.354747484976542,-1.452757032217050
79,stable,-2.154095112824507,-2.845904887175493,-1.210689685613033
80,stable,-2.750186469782420,-2.249813530217580,-1.310398402507417
81,stable,-.3847554547683103,-4.615244545231690,-1.595841126341838
82,stable,-2.130165957873714,-2.869834042126286,-1.581142261187779
83,stable,-2.323915597589803,-2.676084402410197,-1.367444695635641
84,stable,-2.562307442938618,-2.437692557061382,-1.004601248481777
85,stable,-2.419117356017523,-2.580882643982477,-1.610173181514256
86,stable,-2.340736198037121,-2.659263801962879,-1.468294023245107
87,stable,-3.608754284730821,-1.391245715269179,-1.131938344682567
88,stable,-1.923614000791531,-3.076385999208469,-1.376090985082556
89,stable,-2.379341173453213,-2.620658826546787,-1.546037821623031
90,stable,-1.955537411919067,-3.044462588080933,-1.405672508990392
91,stable,-1.851031145895831,-3.148968854104169,-1.331755640218034
92,stable,-3.439128906407859,-1.560871093592141,-1.305209369631484
93,stable,-2.876293457770771,-2.123706542229229,-1.897821529390058
94,stable,-3.019393806542212,-1.980606193457788,-1.339229342644103
95,stable,-3.361128496066158,-1.638871503933842,-1.474737814627588
96,stable,-2.392299171340710,-2.607700828659290,-1.270786508750462
97,stable,-3.563970964984037,-1.436029035015963,-1.483324230997823
98,stable,-3.012144649881520,-1.987855350118480,-1.285332106628630
99,stable,-3.069934660896251,-1.930065339103749,-1.390681634773500
100,stable,-1.154980965457071,-3.845019034542929,-1.541478089580778
101,stable,-2.352009948890554,-2.647990051109446,-1.783248613122851
102,stable,-3.001268030777283,-1.998731969222717,-1.885513946006540
103,stable,-1.142284668549109,-3.857715331450891,-1.426455501583405
104,stable,-2.810662877021969,-2.189337122978031,-1.380817294986628
105,stable,-3.279780325028696,-1.720219674971304,-1.712402652439778
106,stable,-3.195768668974779,-1.804231331025221,-1.399476329686877
107,stable,-2.585192257582094,-2.414807742417906,-1.823339762166142
108,stable,-3.268070201248065,-1.731929798751935,-1.256008925556671
109,stable,-2.944502101609942,-2.055497898390058,-1.359928979771212
110,stable,-2.316302198149060,-2.683697801850940,-1.601003556337673
111,stable,-3.680542974081618,-1.319457025918382,-1.390654363873182
112,stable,-3.004734428468510,-1.995265571531490,-1.681075687039993
113,stable,-3.638060322409729,-1.361939677590271,-1.218335844838293
114,stable,-2.816716184181132,-2.183283815818868,-1.597677021462005
115,stable,-3.319620832378860,-1.680379167621140,-1.740778892592061
116,stable,-3.504028025352454,-1.495971974647546,-1.653208426050696
117,stable,-3.151050095299070,-1.848949904700930,-1.479050587280653
118,stable,-3.593452079764347,-1.406547920235653,-1.602814356549061
119,stable,-2.393289975756488,-2.606710024243512,-1.454264159256127
120,stable,-2.264553872457327,-2.735446127542673,-1.498746948491316
121,stable,-2.810132554648590,-2.189867445351410,-1.751670447381912
122,stable,-2.686832859382775,-2.313167140617225,-1.732687701412942
123,stable,-2.887045669631334,-2.112954330368666,-1.584922344562074
124,stable,-2.880580977924410,-2.119419022075590,-1.395849320688285
125,stable,-2.153194968348544,-2.846805031651456,-1.402530912833754
126,stable,-2.731663944064849,-2.268336055935151,-1.533171848044731
127,stable,-2.871594504960740,-2.128405495039260,-1.452302965772105
128,stable,-1.465658346265855,-3.534341653734145,-1.379918126222037
129,stable,-3.346671502926029,-1.653328497073971,-1.728817603609059
130,stable,-2.871421244410158,-2.128578755589842,-1.633541268864064
131,stable,-2.296835660759825,-2.703164339240175,-1.494925094710197
132,stable,-3.225690817370378,-1.774309182629622,-1.495583229698241
133,stable,-2.535825559032673,-2.464174440967327,-1.818085047270870
134,stable,-3.017352447215671,-1.982647552784329,-2.389572478583432
135,stable,-3.374256783077726,-1.625743216922274,-1.512763540726155
136,stable,-2.804147017042851,-2.195852982957149,-1.649816612771247
137,stable,-2.820999536943418,-2.179000463056582,-1.320345444662962
