shuffle_id,status,max_real_part,min_kappa_in,min_kappa_out
1,stable,-1.000000000000000,-2.899058850660367,-1.215896024426911
2,stable,-1.000000000000000,-2.693541876645213,-1.357173885509837
3,stable,-1.000000000000000,-1.272136790750665,-1.391628578188829
4,stable,-1.000000000000000,-2.571584878329304,-1.750771863880800
5,stable,-1.000000000000000,-2.926585558323495,-1.329805024935922
6,stable,-1.000000000000000,-2.128535076510161,-1.497026454773732
7,stable,-1.000000000000000,-1.905506512835927,-1.385595040483167
8,stable,-1.000000000000000,-1.437746003000939,-1.233843900903594
9,stable,-1.000000000000000,-2.289422716788067,-1.437513742945157
10,stable,-1.000000000000000,-2.129135471961035,-1.477726270677522
11,stable,-1.000000000000000,-2.241817708476447,-1.401366775808128
12,stable,-1.000000000000000,-1.878597914255806,-1.215069951605983
13,stable,-1.000000000000000,-2.000275888412943,-1.311182588397060
14,stable,-1.000000000000000,-1.504595589345627,-1.490901958111863
15,stable,-1.000000000000000,-1.347627779607137,-1.359648541751085
16,stable,-1.000000000000000,-2.727701909476309,-1.759915250891936
17,stable,-1.000000000000000,-2.187525605288101,-1.652792894397862
18,stable,-1.000000000000000,-4.268681026908780,-1.666805120767094
19,stable,-1.000000000000000,-1.741093393058691,-2.060276534000877
20,stable,-1.000000000000000,-1.470445407918305,-1.690455672563985
21,stable,-1.000000000000000,-1.889855391818855,-1.349293422909795
22,stable,-1.000000000000000,-2.317240296455566,-1.468478505994426
23,stable,-1.000000000000000,-3.175865989618615,-1.211627765505909
24,stable,-1.000000000000000,-1.990387327939970,-1.373586458254977
25,stable,-1.000000000000000,-2.330518938804744,-1.702553918206831
26,stable,-1.000000000000000,-2.398769617399012,-1.301065981679130
27,stable,-1.000000000000000,-2.482330805993115,-1.321626157296123
28,stable,-1.000000000000000,-2.634930542806615,-1.429269883199595
29,stable,-1.000000000000000,-3.117712861230757,-1.094775464385748
30,stable,-1.000000000000000,-3.586938009746518,-1.455676962879807
31,stable,-1.000000000000000,-1.927183891723871,-1.515767430653796
32,stable,-1.000000000000000,-3.014985713070018,-1.995297321854196
33,stable,-1.000000000000000,-2.765608678542776,-1.498906014749082
34,stable,-1.000000000000000,-2.428670448600315,-1.529345468967222
35,stable,-1.000000000000000,-2.286526056021103,-1.667965365923010
36,stable,-1.000000000000000,-1.398990396697627,-1.455488627427258
37,stable,-1.000000000000000,-3.054870654064871,-1.477791390600032
38,stable,-1.000000000000000,-2.187854276970029,-1.553715770802228
39,stable,-1.000000000000000,-2.380783833130408,-1.538146585982759
40,stable,-1.000000000000000,-1.675086993315290,-1.346489110554103
41,stable,-1.000000000000000,-2.509283032632084,-1.566241988672118
42,stable,-1.000000000000000,-1.656177558339550,-1.494380763615482
43,stable,-1.000000000000000,-2.225066806697214,-1.512744447827572
44,stable,-1.000000000000000,-2.071076003246844,-1.321557073970325
45,stable,-1.000000000000000,-1.923677892924616,-1.378308928571641
46,stable,-1.000000000000000,-2.692239360112580,-1.713362094742479
47,stable,-1.000000000000000,-2.982741291645652,-1.472972336690873
48,stable,-1.000000000000000,-2.103609178304396,-1.286941783531802
49,stable,-1.000000000000000,-2.354996970176217,-2.009600583172869
50,stable,-1.000000000000000,-3.017240911416593,-1.226389594186912
51,stable,-1.000000000000000,-2.389265019970480,-1.310687436343869
52,stable,-1.000000000000000,-2.155546052752470,-1.743887362768874
53,stable,-1.000000000000000,-2.039427338604582,-1.713760431797709
54,stable,-1.000000000000000,-2.603941770492384,-1.318335799849592
55,stable,-1.000000000000000,-1.590729100609678,-1.570109331281856
56,stable,-1.000000000000000,-2.097042921493994,-1.659023322979920
57,stable,-1.000000000000000,-2.843496551358839,-1.277933323988691
58,stable,-1.000000000000000,-1.854767861956134,-1.550688683237240
59,stable,-1.000000000000000,-1.802153992774947,-1.297438897983739
60,stable,-1.000000000000000,-2.208217431296362,-1.715369349927641
61,stable,-1.000000000000000,-2.666002402951563,-1.674701009411365
62,stable,-1.000000000000000,-2.248784067385714,-1.390279827581253
63,stable,-1.000000000000000,-2.308136954462498,-1.423650487122359
64,stable,-1.000000000000000,-2.567406253080662,-1.721190679061692
65,stable,-1.000000000000000,-2.134486712652688,-1.551571774441982
66,stable,-1.000000000000000,-2.633683062322234,-1.529547529353295
67,stable,-1.000000000000000,-2.699921286844983,-1.248697408445878
68,stable,-1.000000000000000,-2.372880343906218,-1.708176568965428
69,stable,-1.000000000000000,-1.966938377591987,-1.388072155939881
70,stable,-1.000000000000000,-3.302370562339092,-1.489867201016750
71,stable,-1.000000000000000,-2.308362633317302,-1.203424128907500
72,stable,-1.000000000000000,-1.514358859249114,-1.628093267616350
73,stable,-1.000000000000000,-2.147181745138369,-1.928524625574937
74,stable,-1.000000000000000,-1.953314774898899,-1.825095687556313
75,stable,-1.000000000000000,-3.147311732343951,-1.299928353080759
76,stable,-1.000000000000000,-1.927976685816247,-1.308847308740951
77,stable,-1.000000000000000,-3.240138132856373,-2.006087520203437
78,stable,-1.000000000000000,-1.354747484976542,-1.452757032217050
79,stable,-1.000000000000000,-2.845904887175493,-1.210689685613033
80,stable,-1.000000000000000,-2.249813530217580,-1.310398402507417
81,stable,-1.000000000000000,-4.615244545231690,-1.595841126341838
82,stable,-1.000000000000000,-2.869834042126286,-1.581142261187779
83,stable,-1.000000000000000,-2.676084402410197,-1.367444695635641
84,stable,-1.000000000000000,-2.437692557061382,-1.004601248481777
85,stable,-1.000000000000000,-2.580882643982477,-1.610173181514256
86,stable,-1.000000000000000,-2.659263801962879,-1.468294023245107
87,stable,-1.000000000000000,-1.391245715269179,-1.131938344682567
88,stable,-1.000000000000000,-3.076385999208469,-1.376090985082556
89,stable,-1.000000000000000,-2.620658826546787,-1.546037821623031
90,stable,-1.000000000000000,-3.044462588080933,-1.405672508990392
91,stable,-1.000000000000000,-3.148968854104169,-1.331755640218034
92,stable,-1.000000000000000,-1.560871093592141,-1.305209369631484
93,stable,-1.000000000000000,-2.123706542229229,-1.897821529390058
94,stable,-1.000000000000000,-1.980606193457788,-1.339229342644103
95,stable,-1.000000000000000,-1.638871503933842,-1.474737814627588
96,stable,-1.000000000000000,-2.607700828659290,-1.270786508750462
97,stable,-1.000000000000000,-1.436029035015963,-1.483324230997823
98,stable,-1.000000000000000,-1.987855350118480,-1.285332106628630
99,stable,-1.000000000000000,-1.930065339103749,-1.390681634773500
100,stable,-1.000000000000000,-3.845019034542929,-1.541478089580778
101,stable,-1.000000000000000,-2.647990051109446,-1.783248613122851
102,stable,-1.000000000000000,-1.998731969222717,-1.885513946006540
103,stable,-1.000000000000000,-3.857715331450891,-1.426455501583405
104,stable,-1.000000000000000,-2.189337122978031,-1.380817294986628
105,stable,-1.000000000000000,-1.720219674971304,-1.712402652439778
106,stable,-1.000000000000000,-1.804231331025221,-1.399476329686877
107,stable,-1.000000000000000,-2.414807742417906,-1.823339762166142
108,stable,-1.000000000000000,-1.731929798751935,-1.256008925556671
109,stable,-1.000000000000000,-2.055497898390058,-1.359928979771212
110,stable,-1.000000000000000,-2.683697801850940,-1.601003556337673
