id,stability,max_real_part,max_kappa_in,min_kappa_in,max_kappa_out,min_kappa_out
1,stable,-10.00000000000000,3.974018337321468,-4.990327721345238,1.673767174055683,-1.628118447959423
2,stable,-10.00000000000000,7.852781118912390,-4.752082164981402,1.803466954122996,-1.745887501165271
3,stable,-10.00000000000000,7.508206836646423,-6.727539477287792,1.785251423716545,-1.944264885038137
4,stable,-10.00000000000000,7.272152520075906,-5.956555489508901,1.967175968922675,-2.229753073304892
5,stable,-10.00000000000000,5.705410202732310,-5.568637398653664,2.306276502087712,-1.552648756187409
6,stable,-10.00000000000000,6.222561671544099,-5.178962789679645,1.935839122855214,-1.580430469824933
7,stable,-10.00000000000000,6.546250329847680,-5.696049485850381,1.717517624270158,-1.780281491577625
8,stable,-10.00000000000000,4.947918795398436,-4.273224360542372,1.802862172015011,-2.075428491923958
9,stable,-10.00000000000000,6.679002131568268,-3.682241046219133,2.356806837022305,-1.908825332298875
10,stable,-10.00000000000000,4.068605368142016,-4.753499884682242,1.786294069141150,-2.103780750185251
11,stable,-10.00000000000000,8.223359758500010,-6.091249717748724,1.696788379869759,-2.320243276655674
12,stable,-10.00000000000000,8.030784689413849,-9.648253841907717,1.925069639459252,-2.118981957435608
13,stable,-10.00000000000000,3.604409258579835,-2.419220604817383,1.828703929204494,-2.523431953042746
14,stable,-10.00000000000000,4.626171437435914,-5.046769516950008,1.944764299783856,-2.172268986701965
15,stable,-10.00000000000000,5.243612449674401,-4.897100828413386,2.061323031484790,-1.745676901191473
16,stable,-10.00000000000000,5.358898481470533,-4.742328708525747,1.804821870235855,-2.290276588872075
17,stable,-10.00000000000000,7.872720455983654,-5.632416510488838,1.914257397060283,-1.869314104318619
18,stable,-10.00000000000000,3.267883303487906,-4.128661785507575,1.687546156346798,-1.704039425269002
19,stable,-10.00000000000000,3.980403510009637,-2.801352503127418,1.892483117058873,-1.758139825426042
20,stable,-10.00000000000000,4.016976319369860,-4.558105227537453,2.717889584600925,-2.058229181915522
21,stable,-10.00000000000000,5.647555833798833,-2.217030154369922,2.186870958656073,-2.321575278416276
22,stable,-10.00000000000000,3.443713601212949,-4.843672874238109,1.950512807816267,-2.244962710887194
23,stable,-10.00000000000000,7.640051732072607,-4.368272567051463,2.090994856785983,-1.958198104985058
24,stable,-10.00000000000000,7.408130132709630,-4.019890205003321,1.745264781173319,-2.228183791972697
25,stable,-10.00000000000000,4.256149972556159,-8.894694860791788,1.807290267566714,-2.162225489504635
26,stable,-10.00000000000000,7.863543747342192,-4.416076423600316,2.325371844694018,-2.183226058259606
27,stable,-10.00000000000000,5.479547245660797,-3.834602046757936,1.902826775676658,-2.047853481024504
28,stable,-10.00000000000000,3.941202698915731,-1.792415904652444,2.253660868620500,-2.316392078995705
29,stable,-10.00000000000000,4.371966830105521,-3.493344884947874,1.850871611386538,-2.174033861607313
30,stable,-10.00000000000000,3.161940621994290,-6.225129794562235,1.773783404380083,-1.944795735180378
31,stable,-10.00000000000000,4.225263379194075,-6.016859336523339,1.655455861240625,-1.796910485252738
32,stable,-10.00000000000000,2.491028962760538,-3.724878175649792,1.586150914430618,-1.799732863903046
33,stable,-10.00000000000000,3.143364863703027,-5.207577044842765,1.942115724086761,-2.005870738998055
34,stable,-10.00000000000000,6.352921401616186,-5.656141859828494,1.768242295365781,-1.726342510664836
35,stable,-10.00000000000000,3.442599536476337,-2.377522682421841,1.884793326258659,-1.660112906247377
36,stable,-10.00000000000000,7.027506564161740,-4.015265870199073,1.777831802144647,-2.530187338590622
37,stable,-10.00000000000000,4.066363894991810,-2.629451282788068,2.141965178772807,-1.637747805565596
38,stable,-10.00000000000000,6.478932599187829,-6.567070078657707,1.814500320702791,-2.110050484538078
39,stable,-10.00000000000000,5.704821660241578,-4.113954369793646,1.737802721560001,-1.851962052285671
40,stable,-10.00000000000000,5.707035970524885,-6.740729648736306,1.916782721877098,-2.305366150569171
41,stable,-10.00000000000000,3.919629642216023,-7.647418841253966,1.667459095464437,-1.943897833320079
42,stable,-10.00000000000000,4.337950954621192,-4.351743695093319,2.429629622027278,-1.637983677908778
43,stable,-10.00000000000000,4.201200701412745,-5.767536440864205,1.758008750155568,-1.556722935521975
44,stable,-10.00000000000000,5.958606132102432,-3.692343608592637,2.052605093268539,-1.673524357378483
45,stable,-10.00000000000000,5.503450588672422,-6.737701411009766,1.823296880997077,-2.364684984087944
46,stable,-10.00000000000000,6.332623334485106,-3.072536214414868,2.064185302704573,-2.530028712004423
47,stable,-10.00000000000000,10.54458060627803,-4.274652897729538,2.194818248040974,-2.446693049743772
48,stable,-10.00000000000000,7.934993012808263,-6.773539119749330,1.731161996580340,-1.823954010382295
49,stable,-10.00000000000000,5.315812717337394,-5.746348362765275,2.093488285143394,-1.761671016924083
50,stable,-10.00000000000000,4.288993736961856,-2.379204000579193,1.840857986360788,-1.701637859456241
51,stable,-10.00000000000000,7.603499602526426,-4.706704149284633,2.012366516195470,-1.794641040265560
52,stable,-10.00000000000000,7.148639601888135,-5.558664713083999,1.946829650783911,-2.841564456466585
53,stable,-10.00000000000000,9.879411795409396,-4.816650049615419,1.941663612611592,-1.793404780328274
54,stable,-10.00000000000000,5.791496259975247,-5.142435754998587,1.717403398826718,-1.641731501556933
55,stable,-10.00000000000000,6.259953559492715,-4.961258232360706,1.646400708705187,-1.956415344273410
56,stable,-10.00000000000000,5.916322122910060,-3.121223137946799,1.983397260250058,-1.818280231207609
57,stable,-10.00000000000000,4.533086773473769,-3.316465033683926,2.004196470501483,-1.870203410042450
58,stable,-10.00000000000000,3.914696759893559,-4.081186332565267,1.652950165516813,-1.705632602795959
59,stable,-10.00000000000000,4.496748528908938,-4.282438181806356,1.659367615895462,-2.381082051433623
60,stable,-10.00000000000000,3.835140910698101,-8.686576276784763,2.093086523003876,-1.905844533815980
61,stable,-10.00000000000000,7.045655912836082,-6.111930392216891,2.005537542514503,-1.751729609095491
62,stable,-10.00000000000000,3.337263558903942,-4.831642585340887,1.831156485961401,-1.962928041815758
63,stable,-10.00000000000000,3.685841909755254,-5.092193931166548,2.068711840547621,-2.013068977743387
64,stable,-10.00000000000000,3.757764774753014,-4.299550986499526,1.758816089481115,-1.627097645774484
65,stable,-10.00000000000000,4.857711141346954,-5.744385836995207,1.763351152418181,-1.761017644777894
66,stable,-10.00000000000000,3.885077421553433,-5.363031137734652,2.144992189016193,-2.190156202763319
67,stable,-10.00000000000000,4.304259183874819,-4.938260103925131,1.541154108941555,-1.661739155650139
68,stable,-10.00000000000000,11.12573110172525,-7.237226588651538,1.923228787964035,-1.922776889055967
69,stable,-10.00000000000000,3.369777011219412,-5.098492447345052,1.937342780176550,-1.703956297598779
70,stable,-10.00000000000000,7.959244263125584,-6.903341876924969,1.930960438214242,-1.941904973238707
71,stable,-10.00000000000000,5.922391581465490,-3.410742809530348,1.638254301356938,-1.612653773277998
72,stable,-10.00000000000000,4.051633149618283,-2.400938003032934,2.271338267251849,-1.570479054760654
73,stable,-10.00000000000000,5.697521020658314,-8.614006694726413,1.743918109685183,-1.885137066245079
74,stable,-10.00000000000000,4.531854865432251,-5.934791835345095,1.946517243610288,-1.903365025296807
75,stable,-10.00000000000000,6.259596442803741,-4.868232886074111,1.720735924318433,-1.618843210861087
76,stable,-10.00000000000000,5.556502940133214,-3.493573521845974,1.661695614457130,-1.968402195721865
77,stable,-10.00000000000000,4.100280533835758,-3.326923239277676,1.750356152297172,-1.887331364676356
78,stable,-10.00000000000000,7.085897409764584,-6.077681792055955,1.853935766965151,-1.826294898986816
79,stable,-10.00000000000000,5.857586757279932,-7.578168941428885,1.995234772562981,-1.747163899242878
80,stable,-10.00000000000000,6.488994385232218,-4.444350869860500,1.777262251765933,-2.016882032155991
81,stable,-10.00000000000000,6.808057953719981,-5.563132993265754,1.600843532796716,-2.089448329526931
82,stable,-10.00000000000000,4.504193389177090,-4.243190983164823,1.781525492668152,-2.240040082484484
83,stable,-10.00000000000000,6.239402399223763,-6.033709224080667,1.727638551965356,-2.151120886206627
84,stable,-10.00000000000000,8.138846283196472,-9.011904881801456,1.874726665439084,-1.895208409056067
85,stable,-10.00000000000000,4.176115421403665,-3.087252394470852,2.017216414329596,-1.653145329946597
86,stable,-10.00000000000000,5.909783845068887,-4.907153632724658,1.896841587651579,-1.566262014210224
87,stable,-10.00000000000000,5.084899785433663,-4.395594357687514,1.708541021904239,-1.725305003114045
88,stable,-10.00000000000000,3.912236894713715,-2.659740487550152,1.862532947678119,-1.600124077871442
89,stable,-10.00000000000000,6.066903993953019,-10.24074493558146,1.738913711749774,-1.932835461571813
90,stable,-10.00000000000000,5.060007495223545,-5.832169893197715,2.018501092476072,-1.632890214226791
91,stable,-10.00000000000000,7.341020902153105,-4.882125534204533,1.878505177795887,-2.117603305727243
92,stable,-10.00000000000000,4.718849479220808,-5.765570820803987,2.015204767834803,-1.800789861008525
93,stable,-10.00000000000000,5.443907965323888,-2.827143496542703,1.873674950118584,-2.079163938760757
94,stable,-10.00000000000000,5.690046723524574,-4.346240506623872,1.952408494194970,-2.076711732894182
95,stable,-10.00000000000000,3.559866777999559,-3.044169919914566,1.895008314750157,-1.862130649387836
96,stable,-10.00000000000000,3.029151589609683,-6.286076499149203,1.965072603896260,-1.762098108418286
97,stable,-10.00000000000000,6.691301525686868,-4.539301562821493,2.108178917318583,-1.627291494980454
98,stable,-10.00000000000000,4.461572587373666,-2.872846826998284,1.879983993276255,-1.700499591417611
99,stable,-10.00000000000000,7.692897947650636,-3.029616654850543,1.668580872006714,-1.589400025084615
100,stable,-10.00000000000000,5.330469335545786,-3.742573609226383,1.833252954875206,-1.697257492422068
101,stable,-10.00000000000000,3.858274869853631,-3.397075830260292,2.026853791030589,-2.011737873777747
102,stable,-10.00000000000000,8.204866004642099,-6.700814050127519,1.799627315253019,-1.527719698846340
103,stable,-10.00000000000000,6.690595506341197,-2.537224949890515,1.826931394403800,-1.756042465116479
104,stable,-10.00000000000000,7.856175212655216,-3.376482387364376,1.785757217185164,-1.834172581322491
105,stable,-10.00000000000000,6.269428085070103,-4.542991639202228,1.738755939846669,-1.914239451289177
106,stable,-10.00000000000000,5.353790219873190,-5.094510800758144,1.631497282534838,-2.025119780097157
107,stable,-10.00000000000000,6.319269957137294,-3.407451973645948,1.856476559303701,-2.177682336419821
108,stable,-10.00000000000000,9.738805313361809,-6.478281412273645,1.675923027098179,-1.798203181475401
109,stable,-10.00000000000000,6.027930812968407,-5.388496941071935,1.841260927729309,-2.148937575519085
110,stable,-10.00000000000000,4.031724706757814,-4.391138793638675,1.733574673533440,-1.832496250048280
111,stable,-10.00000000000000,4.264395633246750,-2.759724130970426,1.836785035980938,-2.219561040401459
112,stable,-10.00000000000000,7.704750524862902,-7.447819241555408,1.862028157578607,-2.728243105113506
113,stable,-10.00000000000000,4.783603915479034,-6.900209066225216,1.767693067900836,-2.259485612157732
114,stable,-10.00000000000000,4.716746272344608,-3.957600261404878,2.226864613592625,-1.730254210531712
115,stable,-10.00000000000000,4.002425595914247,-2.641862267755641,1.519307379610837,-2.033826246857643
116,stable,-10.00000000000000,4.577500991406851,-4.369061085744761,1.882175363600254,-1.810971344821155
117,stable,-10.00000000000000,5.080882433918305,-4.311718807992293,2.257188628198492,-1.727010646834970
118,stable,-10.00000000000000,7.654335902014282,-5.670227238209918,1.761358314717654,-2.213164589367807
119,stable,-10.00000000000000,4.837966217717621,-4.838177185622044,1.931227381945064,-2.426787290722132
120,stable,-10.00000000000000,5.792643114022212,-4.076186372520169,2.465216164073354,-1.830239128321409
121,stable,-10.00000000000000,4.069902915973216,-2.254190248670056,1.832269858445216,-1.753173965960741
122,stable,-10.00000000000000,2.566120688914452,-2.780080510769039,1.635624627622747,-1.815456662327051
123,stable,-10.00000000000000,7.002765691024251,-7.430660420446657,1.914725542068481,-2.034715592861176
124,stable,-10.00000000000000,8.047147859819233,-3.523761527001625,1.692994724493474,-1.674855802208185
125,stable,-10.00000000000000,4.060192930512130,-4.110538937151432,1.957581155002117,-2.040778188966215
