shuffle_id,max_real_part,total_entropy,total_heat,total_work,total_internal
1,-3.382157037245634,25.32523328299159,-12.66261664149580,-12.66261664149566,-.1383832284873598E-12
2,-4.132171984724664,25.34975668814465,-12.67487834407232,-12.67487834407228,-.4685141163918161E-13
3,-3.441822839318775,25.34583560255319,-12.67291780127660,-12.67291780127651,-.8559559311338560E-13
4,-2.238030692368739,25.47332064305844,-12.73666032152922,-12.73666032152916,-.6253504658548792E-13
5,-3.608399750803073,25.30560691601860,-12.65280345800930,-12.65280345800913,-.1758662659945287E-12
6,-3.044200196745805,25.41702819853578,-12.70851409926789,-12.70851409926790,.6557254739192331E-14
7,-3.144241645004513,25.29539872589746,-12.64769936294873,-12.64769936294867,-.6310230116213233E-13
8,-3.496273340926564,25.38348494325098,-12.69174247162549,-12.69174247162543,-.6494631221709568E-13
9,-3.893254528946727,25.36830565352950,-12.68415282676475,-12.68415282676484,.8887508784471976E-13
10,-3.849795789996278,25.35447053221115,-12.67723526610557,-12.67723526610568,.1086387924065235E-12
11,-2.793371455863962,25.43893423019048,-12.71946711509524,-12.71946711509522,-.1976370456180376E-13
12,-3.305658172635503,25.36421386540902,-12.68210693270451,-12.68210693270439,-.1197063281832556E-12
13,-3.458298582452699,25.43686651255667,-12.71843325627833,-12.71843325627818,-.1548310091248339E-12
14,-3.141888494676095,25.38115986141203,-12.69057993070601,-12.69057993070603,.2219058270469532E-13
15,-3.453953674881632,25.38743105360861,-12.69371552680430,-12.69371552680410,-.2050391106900307E-12
16,-3.436252765484824,25.37914796533125,-12.68957398266563,-12.68957398266562,-.4369768435985577E-14
17,-4.174038574972656,25.28023512624048,-12.64011756312024,-12.64011756312002,-.2242398974838800E-12
18,-3.642169282364193,25.39500101363542,-12.69750050681771,-12.69750050681778,.6893444148836636E-13
19,-3.533923964734640,25.31040729018982,-12.65520364509491,-12.65520364509500,.9598051520232076E-13
20,-2.701812688683276,25.34242312429923,-12.67121156214962,-12.67121156214976,.1488158554718844E-12
21,-3.338398851530656,25.35570861755206,-12.67785430877603,-12.67785430877620,.1677616379147651E-12
22,-3.584633142557436,25.29573302638070,-12.64786651319035,-12.64786651319054,.1944000516118649E-12
23,-3.405745530835702,25.29671458782901,-12.64835729391451,-12.64835729391456,.5483113962867492E-13
24,-3.492692379491928,25.38838829788158,-12.69419414894079,-12.69419414894080,.4420075416788904E-14
25,-3.554258959161416,25.37219992484096,-12.68609996242048,-12.68609996242057,.9955144347761902E-13
26,-3.349731421340039,25.38760622516158,-12.69380311258079,-12.69380311258125,.4556181820714045E-12
27,-3.493971576863260,25.36594433424201,-12.68297216712100,-12.68297216712123,.2252390982060426E-12
28,-3.370412946875149,25.32605071768922,-12.66302535884461,-12.66302535884426,-.3539876725078273E-12
29,-3.760656006925274,25.42106413901022,-12.71053206950511,-12.71053206950504,-.6843223904207107E-13
30,-4.054977183248411,25.31009607558655,-12.65504803779328,-12.65504803779345,.1645853592302515E-12
31,-3.536957375054044,25.39650038873944,-12.69825019436972,-12.69825019436930,-.4243801490777521E-12
32,-3.448489695722628,25.37294254456775,-12.68647127228387,-12.68647127228376,-.1158968754300105E-12
33,-2.529535086709075,25.35488426161983,-12.67744213080992,-12.67744213080995,.3428767686441958E-13
34,-1.808348381917313,25.34347645011724,-12.67173822505862,-12.67173822505881,.1873969729393465E-12
35,-3.274823731771903,25.28904775039160,-12.64452387519580,-12.64452387519579,-.9396129707628376E-14
36,-3.641949263546849,25.36856677451786,-12.68428338725893,-12.68428338725896,.2734097670487046E-13
37,-3.442853067599572,25.35147713930335,-12.67573856965168,-12.67573856965150,-.1741558286472156E-12
38,-2.839052370647551,25.32929320371426,-12.66464660185713,-12.66464660185707,-.6165380705969170E-13
39,-2.984432068435126,25.35399266619237,-12.67699633309619,-12.67699633309593,-.2516754166181912E-12
40,-3.004610784846591,25.37229695775333,-12.68614847887666,-12.68614847887644,-.2227818624023215E-12
41,-3.034417470615153,25.35683082798346,-12.67841541399173,-12.67841541399134,-.3879353435709554E-12
42,-2.304441521082481,25.33178644266305,-12.66589322133152,-12.66589322133149,-.3648296942326823E-13
43,-2.775053129005755,25.40468513323064,-12.70234256661532,-12.70234256661545,.1348747502571968E-12
44,-3.639412411135709,25.31374998874782,-12.65687499437391,-12.65687499437361,-.3013986629718524E-12
45,-3.097640089094057,25.37198065251732,-12.68599032625866,-12.68599032625884,.1770025098712935E-12
46,-3.395595212059561,25.37015335086401,-12.68507667543200,-12.68507667543184,-.1646703606805744E-12
47,-3.686061131596944,25.30392287077476,-12.65196143538738,-12.65196143538727,-.1082450101774768E-12
48,-3.609317887327052,25.37437098443679,-12.68718549221840,-12.68718549221879,.3935358983131465E-12
49,-3.016749264032114,25.29801524174666,-12.64900762087333,-12.64900762087344,.1048640341227980E-12
50,-3.810916042351892,25.32889676700683,-12.66444838350341,-12.66444838350371,.2923911113228428E-12
51,-3.573416410741629,25.26315252029945,-12.63157626014973,-12.63157626014988,.1605781480007451E-12
52,-3.647854613744130,25.34752240493462,-12.67376120246731,-12.67376120246749,.1856691883572736E-12
53,-3.663843491669468,25.31068974425323,-12.65534487212662,-12.65534487212666,.4122049923616089E-13
54,-3.165531968188589,25.28378787812351,-12.64189393906175,-12.64189393906206,.2981538627100377E-12
55,-3.543116981245475,25.30475532716316,-12.65237766358158,-12.65237766358177,.1825484208239914E-12
56,-3.617644278259831,25.35767433129380,-12.67883716564690,-12.67883716564665,-.2529599793521520E-12
