shuffle_id,status,max_real_part,min_kappa_in,min_kappa_out
1,stable,-3.382157037245634,-2.617842962754366,-1.910099543541946
2,stable,-4.132171984724664,-1.867828015275336,-1.977210503129754
3,stable,-3.441822839318775,-2.558177160681225,-2.182845131912472
4,stable,-2.238030692368739,-3.761969307631261,-2.240323442303634
5,stable,-3.608399750803073,-2.391600249196927,-2.023674158224821
6,stable,-3.044200196745805,-2.955799803254195,-1.928848016046686
7,stable,-3.144241645004513,-2.855758354995487,-1.844347713289608
8,stable,-3.496273340926564,-2.503726659073436,-2.063543952188411
9,stable,-3.893254528946727,-2.106745471053273,-1.929444723326014
10,stable,-3.849795789996278,-2.150204210003722,-2.264042723811144
11,stable,-2.793371455863962,-3.206628544136038,-1.896393736707978
12,stable,-3.305658172635503,-2.694341827364497,-1.748121154116234
13,stable,-3.458298582452699,-2.541701417547301,-1.803435200257809
14,stable,-3.141888494676095,-2.858111505323905,-2.082826882600784
15,stable,-3.453953674881632,-2.546046325118368,-2.587259035179159
16,stable,-3.436252765484824,-2.563747234515176,-1.868888717581285
17,stable,-4.174038574972656,-1.825961425027344,-2.125890799215995
18,stable,-3.642169282364193,-2.357830717635807,-1.713145213818279
19,stable,-3.533923964734640,-2.466076035265360,-2.183838545344770
20,stable,-2.701812688683276,-3.298187311316724,-1.511426101598772
21,stable,-3.338398851530656,-2.661601148469344,-2.308937817513652
22,stable,-3.584633142557436,-2.415366857442564,-1.810273013838014
23,stable,-3.405745530835702,-2.594254469164298,-1.901233586259423
24,stable,-3.492692379491928,-2.507307620508072,-2.062543264168198
25,stable,-3.554258959161416,-2.445741040838584,-2.232998085804866
26,stable,-3.349731421340039,-2.650268578659961,-1.923333922139136
27,stable,-3.493971576863260,-2.506028423136740,-3.028133530824562
28,stable,-3.370412946875149,-2.629587053124851,-1.863569334509521
29,stable,-3.760656006925274,-2.239343993074726,-1.586418414512082
30,stable,-4.054977183248411,-1.945022816751589,-2.214602818632557
31,stable,-3.536957375054044,-2.463042624945956,-1.833356113202171
32,stable,-3.448489695722628,-2.551510304277372,-1.760372137250670
33,stable,-2.529535086709075,-3.470464913290925,-1.890446848803549
34,stable,-1.808348381917313,-4.191651618082687,-1.798169010358833
35,stable,-3.274823731771903,-2.725176268228097,-2.188466219209658
36,stable,-3.641949263546849,-2.358050736453151,-1.769193018219084
37,stable,-3.442853067599572,-2.557146932400428,-1.967788420384750
38,stable,-2.839052370647551,-3.160947629352449,-1.960527132861898
39,stable,-2.984432068435126,-3.015567931564874,-1.755014475653297
40,stable,-3.004610784846591,-2.995389215153409,-1.886153424959048
41,stable,-3.034417470615153,-2.965582529384847,-2.149688926205272
42,stable,-2.304441521082481,-3.695558478917519,-1.995267371694354
43,stable,-2.775053129005755,-3.224946870994245,-1.987281248045292
44,stable,-3.639412411135709,-2.360587588864291,-2.223968315716775
45,stable,-3.097640089094057,-2.902359910905943,-1.859089517456596
46,stable,-3.395595212059561,-2.604404787940439,-2.232033476127981
47,stable,-3.686061131596944,-2.313938868403056,-2.029680089122849
48,stable,-3.609317887327052,-2.390682112672948,-1.836088740470586
49,stable,-3.016749264032114,-2.983250735967886,-2.754601882661518
50,stable,-3.810916042351892,-2.189083957648108,-2.251367537388433
51,stable,-3.573416410741629,-2.426583589258371,-1.795842658550100
52,stable,-3.647854613744130,-2.352145386255870,-1.697175605921075
53,stable,-3.663843491669468,-2.336156508330532,-2.006225539480511
54,stable,-3.165531968188589,-2.834468031811411,-2.036379313527505
55,stable,-3.543116981245475,-2.456883018754525,-1.867103463315289
56,stable,-3.617644278259831,-2.382355721740169,-2.060683302086545
57,stable,-3.427831031981441,-2.572168968018559,-1.708283645033589
58,stable,-2.346014401391585,-3.653985598608415,-2.048670144075004
59,stable,-3.252553562632784,-2.747446437367216,-1.825845874431252
60,stable,-2.446067445496737,-3.553932554503263,-2.144776441447902
61,stable,-3.406034568011819,-2.593965431988181,-1.815453247429105
62,stable,-2.944570979554555,-3.055429020445445,-2.399980540190882
63,stable,-3.062407416995484,-2.937592583004516,-1.923914154103841
64,stable,-3.255638805690978,-2.744361194309022,-1.896933285344858
65,stable,-3.806068035224598,-2.193931964775402,-1.981518312093613
66,stable,-2.891653900740494,-3.108346099259506,-2.129921062008407
67,stable,-2.540934684799140,-3.459065315200860,-2.091000200773124
68,stable,-3.005147999210749,-2.994852000789251,-1.917905481393973
69,stable,-3.505553308286835,-2.494446691713165,-2.189261719991919
70,stable,-3.327874554039226,-2.672125445960774,-1.690867838828126
