shuffle_id,max_real_part,total_entropy,total_heat,total_work,total_internal
1,-7.382157037245634,15.32331970849254,-7.661659854246271,-7.661659854246412,.1390359181951961E-12
2,-8.132171984724664,15.33537875563986,-7.667689377819931,-7.667689377820156,.2242203818447752E-12
3,-7.441822839318775,15.33323112745725,-7.666615563728624,-7.666615563728818,.1944772468065459E-12
4,-6.238030692368739,15.36817501441867,-7.684087507209336,-7.684087507209450,.1158673851309189E-12
5,-7.608399750803073,15.31641887435102,-7.658209437175512,-7.658209437175645,.1323433550248776E-12
6,-7.044200196745805,15.35212871091425,-7.676064355457127,-7.676064355457751,.6234136470939511E-12
7,-7.144241645004513,15.31201093554291,-7.656005467771454,-7.656005467770871,-.5841395075978362E-12
8,-7.496273340926564,15.34130890166231,-7.670654450831155,-7.670654450831571,.4144453877308329E-12
9,-7.893254528946727,15.34024925216667,-7.670124626083335,-7.670124626082927,-.4063294839484755E-12
10,-7.849795789996278,15.33705354296163,-7.668526771480816,-7.668526771481272,.4559334680631633E-12
11,-6.793371455863962,15.36032425408275,-7.680162127041373,-7.680162127041332,-.4334727021770846E-13
12,-7.305658172635503,15.33583073944453,-7.667915369722267,-7.667915369722073,-.1903754931475987E-12
13,-7.458298582452699,15.36004455873281,-7.680022279366406,-7.680022279366465,.6178824812907990E-13
14,-7.141888494676095,15.34606004491030,-7.673030022455148,-7.673030022454756,-.3925948108274291E-12
15,-7.453953674881632,15.34670992906310,-7.673354964531550,-7.673354964532005,.4546311244135737E-12
16,-7.436252765484824,15.34396976097293,-7.671984880486463,-7.671984880486788,.3244292855197894E-12
17,-8.174038574972656,15.31223673462647,-7.656118367313234,-7.656118367312707,-.5270063899165400E-12
18,-7.642169282364193,15.34819022537352,-7.674095112686762,-7.674095112687534,.7715156638554710E-12
19,-7.533923964734640,15.31974705734177,-7.659873528670886,-7.659873528670788,-.9733620159879663E-13
20,-6.701812688683276,15.33093972185045,-7.665469860925226,-7.665469860925521,.2937424609106287E-12
21,-7.338398851530656,15.33341116832341,-7.666705584161703,-7.666705584161519,-.1829664891817018E-12
22,-7.584633142557436,15.31355319257569,-7.656776596287845,-7.656776596287873,.2872441867696196E-13
23,-7.405745530835702,15.31517527065506,-7.657587635327532,-7.657587635327671,.1382505221414476E-12
24,-7.492692379491928,15.34962851427994,-7.674814257139971,-7.674814257139870,-.1040764696647045E-12
25,-7.554258959161416,15.34024176400857,-7.670120882004286,-7.670120882004416,.1267657853687432E-12
26,-7.349731421340039,15.34666547102995,-7.673332735514975,-7.673332735514900,-.7562353521173293E-13
27,-7.493971576863260,15.33943734591580,-7.669718672957898,-7.669718672957654,-.2422116326949997E-12
28,-7.370412946875149,15.32213769193451,-7.661068845967257,-7.661068845966798,-.4586895099856214E-12
29,-7.760656006925274,15.36328326900522,-7.681641634502610,-7.681641634502647,.3658575178921986E-13
30,-8.054977183248411,15.32266435916280,-7.661332179581398,-7.661332179581664,.2662228076877327E-12
31,-7.536957375054044,15.34785580009972,-7.673927900049859,-7.673927900049953,.9354496344204932E-13
32,-7.448489695722628,15.33777846957960,-7.668889234789799,-7.668889234789795,-.4924879948298155E-14
33,-6.529535086709075,15.32922789362573,-7.664613946812865,-7.664613946812980,.1172907257429578E-12
34,-5.808348381917313,15.33051029387891,-7.665255146939455,-7.665255146939581,.1253745371410098E-12
35,-7.274823731771903,15.31290981077959,-7.656454905389793,-7.656454905389090,-.7032300089471200E-12
36,-7.641949263546849,15.33824393602891,-7.669121968014454,-7.669121968014587,.1333464588748612E-12
37,-7.442853067599572,15.32660725284740,-7.663303626423700,-7.663303626424479,.7738063662054984E-12
38,-6.839052370647551,15.32763893600366,-7.663819468001829,-7.663819468001963,.1334340624103980E-12
39,-6.984432068435126,15.33374408361512,-7.666872041807560,-7.666872041808035,.4743280421215523E-12
40,-7.004610784846591,15.33984295535904,-7.669921477679520,-7.669921477679702,.1837132876381098E-12
41,-7.034417470615153,15.33564784688926,-7.667823923444629,-7.667823923444976,.3461610338650889E-12
42,-6.304441521082481,15.32431104782095,-7.662155523910474,-7.662155523910229,-.2452560723953390E-12
43,-6.775053129005755,15.34865853788620,-7.674329268943099,-7.674329268943059,-.4013065921237846E-13
44,-7.639412411135709,15.32190383146263,-7.660951915731316,-7.660951915731152,-.1657094600426845E-12
45,-7.097640089094057,15.34026197005274,-7.670130985026369,-7.670130985025906,-.4618432372649472E-12
46,-7.395595212059561,15.33961168203758,-7.669805841018791,-7.669805841018389,-.4026995750749940E-12
47,-7.686061131596944,15.31959149631121,-7.659795748155603,-7.659795748155793,.1903477375719831E-12
48,-7.609317887327052,15.34178041367345,-7.670890206836724,-7.670890206835828,-.8960714115158197E-12
49,-7.016749264032114,15.31808745473448,-7.659043727367239,-7.659043727367617,.3786632465918593E-12
50,-7.810916042351892,15.32674021960496,-7.663370109802480,-7.663370109802435,-.4607772496889595E-13
51,-7.573416410741629,15.30464816376781,-7.652324081883903,-7.652324081884307,.4024523769796673E-12
52,-7.647854613744130,15.33248450698409,-7.666242253492047,-7.666242253491695,-.3519398314444366E-12
53,-7.663843491669468,15.32109017457891,-7.660545087289456,-7.660545087289304,-.1537979812948898E-12
54,-7.165531968188589,15.30646835915185,-7.653234179575927,-7.653234179575997,.7010451247291272E-13
55,-7.543116981245475,15.31862931141896,-7.659314655709482,-7.659314655709275,-.2056219777779589E-12
56,-7.617644278259831,15.33279401735368,-7.666397008676839,-7.666397008676410,-.4300366486520435E-12
57,-7.427831031981441,15.33870597954367,-7.669352989771833,-7.669352989772028,.1931553875178516E-12
58,-6.346014401391585,15.37252990845755,-7.686264954228774,-7.686264954228744,-.2970280271741288E-13
59,-7.252553562632784,15.34238288479362,-7.671191442396812,-7.671191442397320,.5072344454182254E-12
60,-6.446067445496737,15.33670917783736,-7.668354588918680,-7.668354588918245,-.4370566408784526E-12
61,-7.406034568011819,15.35581792046086,-7.677908960230432,-7.677908960230999,.5659153701209618E-12
62,-6.944570979554555,15.34948259877225,-7.674741299386125,-7.674741299386004,-.1196586232876662E-12
63,-7.062407416995484,15.35031768306157,-7.675158841530787,-7.675158841531111,.3236135318052114E-12
64,-7.255638805690978,15.32947348207900,-7.664736741039502,-7.664736741039318,-.1818107296658322E-12
65,-7.806068035224598,15.34579695376096,-7.672898476880479,-7.672898476880686,.2077144879708559E-12
66,-6.891653900740494,15.32730133719250,-7.663650668596249,-7.663650668596214,-.3351138810891996E-13
67,-6.540934684799140,15.35045045494111,-7.675225227470557,-7.675225227471497,.9401654801899362E-12
68,-7.005147999210749,15.34196255765897,-7.670981278829485,-7.670981278829192,-.2915224485422474E-12
69,-7.505553308286835,15.34665929140902,-7.673329645704511,-7.673329645704754,.2428387352315653E-12
70,-7.327874554039226,15.34517839878561,-7.672589199392807,-7.672589199392545,-.2604604899814067E-12
71,-7.909786992786394,15.34711252490242,-7.673556262451211,-7.673556262451327,.1144353709015000E-12
72,-7.572779073962010,15.34457805656173,-7.672289028280866,-7.672289028281688,.8212718699551758E-12
73,-7.513501032937711,15.34393444426269,-7.671967222131345,-7.671967222131224,-.1213204883776520E-12
74,-7.996625630417839,15.30402499759794,-7.652012498798969,-7.652012498798821,-.1482087022552925E-12
75,-6.812264011859952,15.33369332652804,-7.666846663264022,-7.666846663264304,.2832335060931612E-12
76,-6.900400581958820,15.34628821020027,-7.673144105100135,-7.673144105100574,.4395477037899553E-12
77,-6.577453199515730,15.34957366075929,-7.674786830379645,-7.674786830380203,.5597072284813098E-12
78,-6.029658355104857,15.31030297442752,-7.655151487213759,-7.655151487214202,.4404020551018739E-12
79,-7.406348725678981,15.34910119516260,-7.674550597581300,-7.674550597580969,-.3300684378593211E-12
80,-7.181701167794017,15.33397078604954,-7.666985393024772,-7.666985393024306,-.4686338123116585E-12
81,-7.951259558372840,15.31517687050811,-7.657588435254056,-7.657588435253912,-.1439421498661275E-12
82,-7.323166270818547,15.31366756670920,-7.656833783354602,-7.656833783354243,-.3620766880763071E-12
83,-7.464838032654370,15.34249466444376,-7.671247332221881,-7.671247332221691,-.1934234022948900E-12
84,-7.014329179717606,15.34798126530433,-7.673990632652164,-7.673990632652128,-.3973297385551078E-13
85,-6.439542205949692,15.34166448654628,-7.670832243273142,-7.670832243273370,.2275089838743583E-12
86,-6.814418844522152,15.35118802772524,-7.675594013862622,-7.675594013861889,-.7326092857362632E-12
87,-7.336151348041312,15.35205365625910,-7.676026828129552,-7.676026828129236,-.3146718996482889E-12
