shuffle_id,status,max_real_part,min_kappa_in,min_kappa_out
1,stable,-35.21269558111089,-50.78730441888911,-19.43672881874954
2,stable,-33.05663980168174,-52.94336019831826,-21.09894628776237
3,stable,-34.04052571470675,-51.95947428529325,-21.71215194097022
4,stable,-36.14027561969579,-49.85972438030421,-19.84454582915350
5,stable,-33.51346884263330,-52.48653115736670,-21.71286289434647
6,stable,-33.41088081547059,-52.58911918452941,-20.62488692556508
7,stable,-34.91539213167562,-51.08460786832438,-20.51179485768080
8,stable,-32.12968294292659,-53.87031705707341,-21.06323760631494
9,stable,-36.69518841757235,-49.30481158242765,-20.41882243275177
10,stable,-33.55608974081406,-52.44391025918594,-19.55808441428235
11,stable,-37.15709210268687,-48.84290789731313,-20.85208802773559
12,stable,-30.80139766797947,-55.19860233202053,-20.18790084921056
13,stable,-35.07791869630091,-50.92208130369909,-20.49811626400333
14,stable,-36.86208809567324,-49.13791190432676,-21.77163697144715
15,stable,-34.39990217889863,-51.60009782110137,-20.16109803388827
16,stable,-35.36253939167364,-50.63746060832636,-20.51165406749351
17,stable,-35.64155329218192,-50.35844670781808,-21.27460543115740
18,stable,-36.01476867962629,-49.98523132037371,-19.10256842995295
19,stable,-31.80642929159512,-54.19357070840488,-22.38815649569733
20,stable,-32.61252901528496,-53.38747098471504,-20.09466794901527
21,stable,-36.54678068245994,-49.45321931754006,-20.35582217308547
22,stable,-36.86513004580047,-49.13486995419953,-23.74251384400122
23,stable,-34.78108912117932,-51.21891087882068,-20.28571243234910
24,stable,-34.36370164733080,-51.63629835266920,-20.47176565346308
25,stable,-36.50026473573598,-49.49973526426402,-20.61687519296538
26,stable,-36.82948436730658,-49.17051563269342,-20.49783250363544
27,stable,-35.44343542790739,-50.55656457209261,-20.03382162970956
28,stable,-34.83236546686385,-51.16763453313615,-22.45338223548606
29,stable,-36.65660561740515,-49.34339438259485,-20.65819483576342
30,stable,-30.04855132862576,-55.95144867137424,-20.80229966476327
31,stable,-34.39895828081717,-51.60104171918283,-21.62683695362648
32,stable,-34.15312869104673,-51.84687130895327,-21.75612570301746
33,stable,-30.94220502371900,-55.05779497628100,-21.04994313372299
34,stable,-32.56828849608428,-53.43171150391572,-19.93547169168596
35,stable,-34.32390351958020,-51.67609648041980,-19.29113722532111
36,stable,-32.45904876969871,-53.54095123030129,-22.04438714685966
37,stable,-36.16977148037404,-49.83022851962596,-21.06403090854292
38,stable,-32.86865156952990,-53.13134843047010,-20.70857420423999
39,stable,-35.58587916521356,-50.41412083478644,-20.14299588263384
40,stable,-34.63118901028065,-51.36881098971935,-20.53675281653523
41,stable,-32.29819426419044,-53.70180573580956,-19.61090902624710
42,stable,-36.13612545344222,-49.86387454655778,-21.30283231649082
43,stable,-32.47882706177188,-53.52117293822812,-19.80913430236978
44,stable,-36.57654438067402,-49.42345561932598,-21.22871059841418
45,stable,-34.14825544530322,-51.85174455469678,-21.93839889222363
46,stable,-33.71399244974600,-52.28600755025400,-23.83401743741706
47,stable,-35.10180341622618,-50.89819658377382,-20.05272436095402
48,stable,-36.32120492724061,-49.67879507275939,-19.75235641826293
49,stable,-37.21726413500437,-48.78273586499563,-20.43892087880522
50,stable,-34.76100018143143,-51.23899981856857,-20.43977113362052
51,stable,-30.68648813272011,-55.31351186727989,-20.63242910098052
52,stable,-36.06269569577125,-49.93730430422875,-20.84027679404244
53,stable,-36.74111294519389,-49.25888705480611,-21.63748971041059
54,stable,-32.20821148805408,-53.79178851194592,-21.94454767473508
55,stable,-35.79159245690971,-50.20840754309029,-20.64946100916131
56,stable,-32.20240851162816,-53.79759148837184,-20.89512846684374
57,stable,-35.56007798986684,-50.43992201013316,-20.92710909398738
58,stable,-35.88858322316537,-50.11141677683463,-19.90732426603790
59,stable,-34.25656478526798,-51.74343521473202,-21.17714836337836
60,stable,-35.56180430144013,-50.43819569855987,-20.09448759831139
61,stable,-34.29898580774898,-51.70101419225102,-21.82172563759377
62,stable,-33.61650455157360,-52.38349544842640,-21.90523650640898
63,stable,-32.70280453353189,-53.29719546646811,-19.98379668535199
64,stable,-35.88162988469412,-50.11837011530588,-20.37663035708829
65,stable,-35.41239234281238,-50.58760765718762,-20.28825811758543
66,stable,-32.00087239945424,-53.99912760054576,-20.06015495228348
67,stable,-36.72685737680877,-49.27314262319123,-21.45501728379168
68,stable,-35.26652681770065,-50.73347318229935,-21.12443123367848
69,stable,-34.32213484369277,-51.67786515630723,-19.45363998980611
70,stable,-33.14793865840875,-52.85206134159125,-20.32799760412308
71,stable,-36.40326079367696,-49.59673920632304,-21.50461714435369
72,stable,-33.80996198899811,-52.19003801100189,-21.40137234353460
73,stable,-33.35762346972479,-52.64237653027521,-21.16814696032088
74,stable,-34.15912711404962,-51.84087288595038,-21.75243538656650
75,stable,-32.92923787521431,-53.07076212478569,-21.79273157281568
76,stable,-34.37321114362567,-51.62678885637433,-20.64769569772761
77,stable,-37.26488252937634,-48.73511747062366,-20.10084852029104
78,stable,-32.28874463867396,-53.71125536132604,-20.12224207096733
79,stable,-33.93732937704772,-52.06267062295228,-20.41121006489266
80,stable,-36.07876477495302,-49.92123522504698,-20.95027999446029
81,stable,-33.84096027762280,-52.15903972237720,-21.65259296295699
82,stable,-34.21450391979306,-51.78549608020694,-20.60697427263949
83,stable,-33.75658830454176,-52.24341169545824,-21.36255268807872
84,stable,-34.58327444715542,-51.41672555284458,-20.66229903668864
85,stable,-34.00283106678398,-51.99716893321602,-19.96997234586161
86,stable,-35.53236590065353,-50.46763409934647,-21.21740729128942
87,stable,-34.92072501230905,-51.07927498769095,-20.99250920338091
88,stable,-33.93344507331403,-52.06655492668597,-23.38955465378240
89,stable,-35.52654648754105,-50.47345351245895,-20.89853543580102
90,stable,-34.57671369605669,-51.42328630394331,-20.49005903079524
91,stable,-33.87597340662614,-52.12402659337386,-21.67287283237602
92,stable,-34.41403240250565,-51.58596759749435,-20.78190619311863
93,stable,-36.76723932058667,-49.23276067941333,-21.21283497934519
94,stable,-33.65687431429978,-52.34312568570022,-21.68201687274268
95,stable,-36.42325449205600,-49.57674550794400,-20.48376900812582
96,stable,-37.74172431635452,-48.25827568364548,-21.47376144854934
97,stable,-33.14959467378503,-52.85040532621497,-19.73383535956964
98,stable,-34.19451711125294,-51.80548288874706,-20.27067732269643
99,stable,-35.24077959815622,-50.75922040184378,-22.76271717221243
100,stable,-33.98233000666369,-52.01766999333631,-20.51922863029176
101,stable,-35.57760015726672,-50.42239984273328,-21.54837497216067
102,stable,-33.65720140101621,-52.34279859898379,-21.63066379065276
103,stable,-34.75410769639711,-51.24589230360289,-21.48787001962774
104,stable,-34.90812291379552,-51.09187708620448,-20.91283612222583
105,stable,-35.40248971517576,-50.59751028482424,-19.86365205637412
