shuffle_id,max_real_part,total_entropy,total_heat,total_work,total_internal
1,-1.000000000000000,60421.61551130880,-3021.080775565440,-3021.080775565440,-.4405364961712621E-12
2,-1.000000000000000,49538.49795704734,-2476.924897852366,-2476.924897852367,.1165290086646564E-11
3,-1.000000000000000,49884.46155344678,-2494.223077672340,-2494.223077672341,.1136868377216160E-11
4,-1.000000000000000,53705.97020105289,-2685.298510052645,-2685.298510052646,.2913225216616411E-12
5,-1.000000000000000,54502.15608857074,-2725.107804428538,-2725.107804428538,.4263256414560601E-12
6,-1.000000000000000,55376.77421604881,-2768.838710802440,-2768.838710802439,-.6963318810448982E-12
7,-1.000000000000000,58601.53833893507,-2930.076916946754,-2930.076916946753,-.2302158463862725E-11
8,-1.000000000000000,59645.28054356943,-2982.264027178473,-2982.264027178472,.4547473508864641E-12
9,-1.000000000000000,62480.28673300883,-3124.014336650442,-3124.014336650442,-.3126388037344441E-12
10,-1.000000000000000,58348.43269366066,-2917.421634683033,-2917.421634683033,-.6963318810448982E-12
11,-1.000000000000000,53667.42168086442,-2683.371084043221,-2683.371084043220,-.5542233338928781E-12
12,-1.000000000000000,54787.06110311022,-2739.353055155511,-2739.353055155510,-.8242295734817162E-12
13,-1.000000000000000,59920.80132078368,-2996.040066039185,-2996.040066039180,-.4206412995699793E-11
14,-1.000000000000000,60925.72105011967,-3046.286052505983,-3046.286052505983,-.3552713678800501E-12
15,-1.000000000000000,59976.04220711980,-2998.802110355990,-2998.802110355991,.5400124791776761E-12
16,-1.000000000000000,54363.42187395056,-2718.171093697528,-2718.171093697529,.7247535904753022E-12
17,-1.000000000000000,58120.03404025416,-2906.001702012708,-2906.001702012709,.8952838470577262E-12
18,-1.000000000000000,54424.50084396432,-2721.225042198216,-2721.225042198215,-.7389644451905042E-12
19,-1.000000000000000,59340.67643314540,-2967.033821657270,-2967.033821657270,-.4405364961712621E-12
20,-1.000000000000000,61262.12767399502,-3063.106383699751,-3063.106383699751,.1421085471520200E-13
21,-1.000000000000000,55987.55438851620,-2799.377719425810,-2799.377719425811,.2842170943040401E-12
22,-1.000000000000000,52665.38867346152,-2633.269433673076,-2633.269433673076,.4547473508864641E-12
23,-1.000000000000000,61974.51194072713,-3098.725597036357,-3098.725597036354,-.2046363078989089E-11
24,-1.000000000000000,55429.69250045663,-2771.484625022832,-2771.484625022831,-.7958078640513122E-12
25,-1.000000000000000,62462.98608600137,-3123.149304300070,-3123.149304300071,.1264766069652978E-11
26,-1.000000000000000,59101.93106771084,-2955.096553385541,-2955.096553385541,-.5115907697472721E-12
27,-1.000000000000000,48574.20926487554,-2428.710463243777,-2428.710463243777,-.1421085471520200E-12
28,-1.000000000000000,54117.37027284141,-2705.868513642071,-2705.868513642070,-.9947598300641403E-12
29,-1.000000000000000,69179.47893490066,-3458.973946745033,-3458.973946745035,.2245315045001917E-11
30,-1.000000000000000,54198.85249012401,-2709.942624506201,-2709.942624506200,-.1328714915871387E-11
