shuffle_id,status,max_real_part,min_kappa_in,min_kappa_out
1,stable,-6.991077693935949,-3.008922306064051,-1.507469441108697
2,stable,-4.436345607624389,-5.563654392375611,-1.447390998102492
3,stable,-4.387073416262865,-5.612926583737135,-1.700320251286030
4,stable,-4.767860646941699,-5.232139353058301,-2.035732675687086
5,stable,-5.158565197256394,-4.841434802743606,-1.513633217080496
6,stable,-5.321285016136244,-4.678714983863756,-1.588663502130657
7,stable,-6.140795573417563,-3.859204426582437,-1.671849175821990
8,stable,-6.182854879647493,-3.817145120352507,-1.718077778816223
9,stable,-7.128504627791699,-2.871495372208301,-1.621496818086598
10,stable,-7.771657932697053,-2.228342067302947,-1.870209374377737
11,stable,-8.113033350993646,-1.886966649006354,-1.511313196271658
12,stable,-6.730573726701550,-3.269426273298450,-1.803749745013192
13,stable,-6.667253302410245,-3.332746697589755,-1.932026225375012
14,stable,-4.933753080724273,-5.066246919275727,-1.373560480773449
15,stable,-5.653380057308823,-4.346619942691177,-2.090437360107899
16,stable,-6.432355400815140,-3.567644599184860,-1.629099065314222
17,stable,-8.270963909140846,-1.729036090859154,-1.464744271215750
18,stable,-6.427779634250328,-3.572220365749672,-1.774134974537446
19,stable,-8.362805576685787,-1.637194423314213,-1.439597109332681
20,stable,-5.066256236284971,-4.933743763715029,-1.483252764679492
21,stable,-7.083933071175124,-2.916066928824876,-1.702953025698662
22,stable,-7.360917191603221,-2.639082808396779,-1.652375035977457
23,stable,-7.069074241037015,-2.930925758962985,-1.130533752344490
24,stable,-6.092735125334002,-3.907264874665998,-1.560637282549578
25,stable,-4.854606511769816,-5.145393488230184,-1.785160305211321
26,stable,-5.594051519874483,-4.405948480125517,-1.328173549845815
27,stable,-4.350036534655374,-5.649963465344626,-1.397447958446719
28,stable,-5.349880055058748,-4.650119944941252,-1.761253794771619
29,stable,-6.213140492036473,-3.786859507963527,-1.647535760985193
30,stable,-6.440272812440526,-3.559727187559474,-1.601939884407329
31,stable,-4.104452174680773,-5.895547825319227,-1.405282599851489
32,stable,-7.472138544602785,-2.527861455397215,-1.599248258575244
33,stable,-6.104136213834863,-3.895863786165137,-1.422294743359089
34,stable,-7.056214558251668,-2.943785441748332,-1.541237703524530
35,stable,-5.740439018700272,-4.259560981299728,-1.406434230506420
36,stable,-6.066368909901939,-3.933631090098061,-1.507954120572428
37,stable,-6.726729359361343,-3.273270640638657,-1.214184499462135
38,stable,-4.852315087860916,-5.147684912139084,-1.600462913513184
39,stable,-5.080563161871396,-4.919436838128604,-1.535587323589425
40,stable,-2.918122587143444,-7.081877412856556,-1.878990882076323
41,stable,-3.396452570916153,-6.603547429083847,-1.470385074062506
42,stable,-5.156510309956502,-4.843489690043498,-1.744454015046358
43,stable,-6.271472733438713,-3.728527266561287,-1.368985087334295
44,stable,-5.506089874601457,-4.493910125398543,-1.542886552924756
45,stable,-6.670616594317835,-3.329383405682165,-1.397220233207918
46,stable,-6.760914023965597,-3.239085976034403,-1.365779021881281
