shuffle_id,max_real_part,total_entropy,total_heat,total_work,total_internal
1,-1.000000000000000,11675.26120608879,-583.7630603044397,-583.7630603044398,.2659357346693810E-13
2,-1.000000000000000,11910.42118895488,-595.5210594477437,-595.5210594477436,-.8060219158778636E-13
3,-1.000000000000000,11631.33940448962,-581.5669702244810,-581.5669702244807,-.2490027498427971E-13
4,-1.000000000000000,11765.19691575428,-588.2598457877141,-588.2598457877141,-.4538036613155327E-13
5,-1.000000000000000,12378.81120099283,-618.9405600496416,-618.9405600496418,.8072123698632527E-13
6,-1.000000000000000,13857.26393941698,-692.8631969708491,-692.8631969708495,-.4772571227107392E-13
7,-1.000000000000000,12859.06607155940,-642.9533035779701,-642.9533035779704,.2886727501868113E-13
8,-1.000000000000000,11762.30599594295,-588.1152997971471,-588.1152997971473,-.1190714193910480E-13
9,-1.000000000000000,12017.71055496457,-600.8855277482286,-600.8855277482286,.1629169347171222E-12
10,-1.000000000000000,12327.26910862950,-616.3634554314754,-616.3634554314752,.1790234627208065E-13
11,-1.000000000000000,12236.91241738634,-611.8456208693170,-611.8456208693169,-.3546295201939387E-13
12,-1.000000000000000,11948.40645557886,-597.4203227789430,-597.4203227789433,.4191091917959966E-13
13,-1.000000000000000,11609.89001475632,-580.4945007378159,-580.4945007378158,-.5662137425588298E-13
14,-1.000000000000000,11807.21241016965,-590.3606205084825,-590.3606205084822,-.9382772336863354E-13
15,-1.000000000000000,11806.90338970555,-590.3451694852776,-590.3451694852776,-.8812395257962180E-15
16,-1.000000000000000,11716.95148112273,-585.8475740561365,-585.8475740561363,-.8556219968647305E-13
17,-1.000000000000000,12221.92557632163,-611.0962788160813,-611.0962788160812,-.1356867634742798E-12
18,-1.000000000000000,12115.88935304245,-605.7944676521228,-605.7944676521228,-.4699014885967828E-13
19,-1.000000000000000,12160.59712792173,-608.0298563960863,-608.0298563960863,.2901845430614003E-13
20,-1.000000000000000,13280.91277847398,-664.0456389236991,-664.0456389236991,-.2318145675417327E-12
21,-1.000000000000000,12377.13067257963,-618.8565336289818,-618.8565336289817,-.3725839081702986E-13
22,-1.000000000000000,11799.11751915190,-589.9558759575950,-589.9558759575953,.1559107440455556E-12
23,-1.000000000000000,11805.69864366423,-590.2849321832115,-590.2849321832115,-.1085399131683928E-12
24,-1.000000000000000,12188.89576779514,-609.4447883897570,-609.4447883897572,-.4626941191299139E-13
25,-1.000000000000000,12205.43314603977,-610.2716573019887,-610.2716573019887,-.6548147440943453E-14
26,-1.000000000000000,12133.08552678314,-606.6542763391571,-606.6542763391570,-.1001421168211891E-12
27,-1.000000000000000,12393.78512270427,-619.6892561352132,-619.6892561352137,.1879243288760435E-12
28,-1.000000000000000,11637.49418533996,-581.8747092669980,-581.8747092669979,-.8923417560424696E-14
29,-1.000000000000000,11805.85057466269,-590.2925287331344,-590.2925287331343,.1280417286954327E-12
30,-1.000000000000000,12183.06375402611,-609.1531877013055,-609.1531877013056,.8570921750106208E-13
31,-1.000000000000000,11848.35483707992,-592.4177418539964,-592.4177418539961,-.9434857409229558E-13
32,-1.000000000000000,12724.20614350976,-636.2103071754880,-636.2103071754881,.5329070518200751E-13
33,-1.000000000000000,12167.45274681575,-608.3726373407876,-608.3726373407875,.5756593118855236E-13
34,-1.000000000000000,12233.93521476440,-611.6967607382198,-611.6967607382202,.1713473113396091E-13
35,-1.000000000000000,12110.75160364522,-605.5375801822612,-605.5375801822612,.7966977771944883E-13
36,-1.000000000000000,11795.55404952211,-589.7777024761051,-589.7777024761051,.5628050109285354E-13
37,-1.000000000000000,11998.81217787978,-599.9406088939892,-599.9406088939893,.7871481244592360E-13
38,-1.000000000000000,12130.90546109533,-606.5452730547664,-606.5452730547668,.6539831610280489E-13
39,-1.000000000000000,11535.03805093198,-576.7519025465994,-576.7519025465995,.1005708035839263E-12
40,-1.000000000000000,12310.83161217916,-615.5415806089577,-615.5415806089578,-.8604228440844963E-13
41,-1.000000000000000,12283.67205414724,-614.1836027073617,-614.1836027073617,-.6300624084965012E-13
42,-1.000000000000000,11909.22888314226,-595.4614441571134,-595.4614441571134,-.1287858708565182E-13
43,-1.000000000000000,12158.29892746210,-607.9149463731050,-607.9149463731048,-.4347563975493074E-13
44,-1.000000000000000,11955.43201868544,-597.7716009342719,-597.7716009342721,-.2394369696002291E-13
45,-1.000000000000000,11472.90738675059,-573.6453693375294,-573.6453693375294,-.1286363559888006E-12
46,-1.000000000000000,11896.29862791687,-594.8149313958437,-594.8149313958434,-.2452157671795768E-13
47,-1.000000000000000,11754.06664995851,-587.7033324979259,-587.7033324979258,.1337450878264321E-13
48,-1.000000000000000,11719.38242324007,-585.9691211620037,-585.9691211620037,.8170310402625530E-14
49,-1.000000000000000,12076.97614712606,-603.8488073563032,-603.8488073563034,.8747776808482044E-14
50,-1.000000000000000,11797.47019293888,-589.8735096469444,-589.8735096469446,.8213568714054986E-13
51,-1.000000000000000,12018.67251375064,-600.9336256875323,-600.9336256875321,.1117462242530842E-12
