shuffle_id,status,max_real_part,min_kappa_in,min_kappa_out
1,stable,-8.335238584300896,-1.664761415699104,-1.478507883259226
2,stable,-7.640079652047902,-2.359920347952098,-1.441222422598003
3,stable,-8.663640954894390,-1.336359045105610,-1.516163764055818
4,stable,-8.126942881324794,-1.873057118675206,-1.501207682245877
5,stable,-8.291290413166280,-1.708709586833720,-1.930601386236958
6,stable,-8.359184705134567,-1.640815294865433,-1.428482446634007
7,stable,-7.783447899077146,-2.216552100922854,-1.356864819845214
8,stable,-8.209887365801478,-1.790112634198522,-1.826171922453796
9,stable,-8.354996881244006,-1.645003118755994,-1.576443715423011
10,stable,-8.196222416576347,-1.803777583423653,-1.453437854164804
11,stable,-8.205193562347631,-1.794806437652369,-1.431036565481918
12,stable,-8.137175145171966,-1.862824854828034,-1.449626873079978
13,stable,-8.066178112450871,-1.933821887549129,-2.245401575120923
14,stable,-7.426880804283428,-2.573119195716572,-1.704109597951174
15,stable,-8.418244806642178,-1.581755193357822,-1.683332392480224
16,stable,-7.912969779543346,-2.087030220456654,-1.776064537742059
17,stable,-8.112397219054401,-1.887602780945599,-1.609201788349310
18,stable,-8.490166763443995,-1.509833236556005,-1.661086216976400
19,stable,-8.673867234901991,-1.326132765098009,-1.896246699267067
20,stable,-8.633492306224070,-1.366507693775930,-1.554909755352128
21,stable,-8.288201759001822,-1.711798240998178,-1.304805293970276
22,stable,-8.534460541144654,-1.465539458855346,-1.448097211958157
23,stable,-8.417974243078788,-1.582025756921212,-1.287301433869288
24,stable,-8.592139510043125,-1.407860489956875,-1.512047322080434
25,stable,-8.166833781375317,-1.833166218624683,-1.397347743407408
26,stable,-8.197914622333883,-1.802085377666117,-1.825551802340669
27,stable,-8.203344642721277,-1.796655357278723,-1.649165538838133
28,stable,-7.970261747664608,-2.029738252335392,-1.605158319609473
29,stable,-8.553587493712257,-1.446412506287743,-1.926715592693654
30,stable,-8.521807190882100,-1.478192809117900,-1.292705945495982
31,stable,-8.682852306826817,-1.317147693173183,-1.410422232875135
32,stable,-8.403165643776447,-1.596834356223553,-1.771035427635070
33,stable,-8.543458134678076,-1.456541865321924,-1.344277293770574
34,stable,-8.203875443141442,-1.796124556858558,-1.499084313341882
35,stable,-8.045886661599070,-1.954113338400930,-1.647817722601758
36,stable,-7.614769078932952,-2.385230921067048,-1.473449008830357
37,stable,-8.425642799942580,-1.574357200057420,-1.417729694250738
38,stable,-8.649258237397589,-1.350741762602411,-1.535496374446666
39,stable,-8.662534136969043,-1.337465863030957,-1.438417472149013
40,stable,-8.177507475458697,-1.822492524541303,-1.204721820162376
41,stable,-8.169966685374675,-1.830033314625325,-1.347071062918985
42,stable,-8.229057005046343,-1.770942994953657,-1.604819182452047
43,stable,-7.277045189213823,-2.722954810786177,-1.391605772776529
44,stable,-8.094414222632622,-1.905585777367378,-1.450701316411141
45,stable,-8.265869133167143,-1.734130866832857,-1.580661699641496
46,stable,-8.115162212401628,-1.884837787598372,-1.620498699667223
47,stable,-8.148063093482051,-1.851936906517949,-1.323106434298097
48,stable,-8.481706326880158,-1.518293673119842,-1.290920518564235
49,stable,-8.485995011600608,-1.514004988399392,-1.283801903613494
50,stable,-7.924524309377375,-2.075475690622625,-1.549502333153214
51,stable,-8.427511367286570,-1.572488632713430,-1.271825790123330
52,stable,-8.087801387549916,-1.912198612450084,-1.563455129391514
53,stable,-7.899775025827694,-2.100224974172306,-1.535841984703438
54,stable,-7.997867176025466,-2.002132823974534,-1.467677629188984
55,stable,-7.628914495266145,-2.371085504733855,-1.731161125178915
56,stable,-7.346887747433357,-2.653112252566643,-1.554324211376297
57,stable,-8.313745557967195,-1.686254442032805,-1.424402313503379
58,stable,-8.099682946122812,-1.900317053877188,-1.593066229863325
59,stable,-8.367583612933231,-1.632416387066769,-1.807767941873863
60,stable,-8.261307792679872,-1.738692207320128,-1.628662341739982
61,stable,-8.434922041429786,-1.565077958570214,-1.434498558621272
62,stable,-8.463408390780387,-1.536591609219613,-1.758846786091453
63,stable,-8.668587788138211,-1.331412211861789,-1.978756191161665
64,stable,-8.280946445534937,-1.719053554465063,-1.430748829618096
65,stable,-8.084892595266865,-1.915107404733135,-1.611808168818243
66,stable,-7.511603465678490,-2.488396534321510,-1.947555992650450
67,stable,-7.456743805800215,-2.543256194199785,-1.585786706039926
68,stable,-8.249718960629252,-1.750281039370748,-1.492104318778729
69,stable,-8.021362978695834,-1.978637021304166,-1.582495782004116
70,stable,-8.185581323676161,-1.814418676323839,-1.542303822905524
71,stable,-8.321139991416885,-1.678860008583115,-1.556168706611061
72,stable,-8.450091526568940,-1.549908473431060,-1.250421313368861
73,stable,-8.066453914863814,-1.933546085136186,-1.428368539724033
74,stable,-8.166906317116002,-1.833093682883998,-1.379948775458615
75,stable,-6.473092913471191,-3.526907086528809,-1.512634274527045
76,stable,-8.425075588426694,-1.574924411573306,-1.379661922772357
77,stable,-8.609343444783008,-1.390656555216992,-1.707389630618309
78,stable,-8.402895599221665,-1.597104400778335,-1.275461492889235
79,stable,-7.237572233329956,-2.762427766670044,-1.575088147663337
80,stable,-8.488232325376885,-1.511767674623115,-2.153850332877482
81,stable,-8.047599492606196,-1.952400507393804,-2.167567088370561
82,stable,-7.862592309567844,-2.137407690432156,-1.592073202728898
83,stable,-7.680171035644889,-2.319828964355111,-1.375705346668838
84,stable,-8.622987204580568,-1.377012795419432,-1.660559004405513
85,stable,-8.566009427529934,-1.433990572470066,-1.548068953226903
86,stable,-8.510071120948851,-1.489928879051149,-1.300653924663493
87,stable,-8.489193165636607,-1.510806834363393,-1.819306121964473
88,stable,-8.267177283347337,-1.732822716652663,-1.526941604606691
89,stable,-8.000931922217205,-1.999068077782795,-1.405551741911040
90,stable,-8.141700447828043,-1.858299552171957,-1.847932695120107
91,stable,-7.896287162468070,-2.103712837531930,-1.632649350518477
92,stable,-7.916797044690611,-2.083202955309389,-1.753076016557316
93,stable,-8.314259063528880,-1.685740936471120,-1.561922945140395
94,stable,-8.070171074556129,-1.929828925443871,-1.320905358588789
95,stable,-8.544222572185390,-1.455777427814610,-1.644106647130684
96,stable,-7.985543372758912,-2.014456627241088,-1.319586320067174
97,stable,-8.169306580850389,-1.830693419149611,-1.557950491394877
98,stable,-8.294595026178285,-1.705404973821715,-1.693333061470184
99,stable,-8.624293878239769,-1.375706121760231,-2.159700227202848
100,stable,-8.489285969539196,-1.510714030460804,-1.984256878378801
101,stable,-8.271507980869501,-1.728492019130499,-1.891770607369835
102,stable,-8.395474539737108,-1.604525460262892,-1.750039840349928
103,stable,-7.935603095276747,-2.064396904723253,-1.775897989748046
104,stable,-8.228727534326026,-1.771272465673974,-1.606324560416397
105,stable,-7.751023656492180,-2.248976343507820,-1.588398395565264
106,stable,-8.061171935634775,-1.938828064365225,-1.706657802715199
107,stable,-7.936883538213806,-2.063116461786194,-1.513091996035655
108,stable,-8.387858562435213,-1.612141437564787,-1.523580202925586
109,stable,-8.128810141919530,-1.871189858080470,-1.371914103510790
110,stable,-8.167244234879036,-1.832755765120964,-1.723090533261711
111,stable,-8.360941049069879,-1.639058950930121,-1.406977885528249
112,stable,-8.364982765244349,-1.635017234755651,-1.639266326776124
113,stable,-8.749564311310678,-1.250435688689322,-1.435773824574426
114,stable,-8.506646950379945,-1.493353049620055,-1.693072974827373
115,stable,-8.458288699348486,-1.541711300651514,-1.326394909818191
116,stable,-7.651080910189194,-2.348919089810806,-1.623677518669865
