Theoretical Energetics by Node and Layer
layer,node,heat_rate,entropy_rate,work_rate,internal_rate
1,1,.000000000000000,.000000000000000,-.8306553698419508E-04,.8306553698419508E-04
1,2,.000000000000000,.000000000000000,-.8451858249616204E-04,.8451858249616204E-04
1,3,.000000000000000,.000000000000000,-.8290657200700060E-04,.8290657200700060E-04
1,4,.000000000000000,.000000000000000,-.7613908004649061E-04,.7613908004649061E-04
1,5,.000000000000000,.000000000000000,-.9189552093127388E-04,.9189552093127388E-04
1,6,.000000000000000,.000000000000000,-.8480911523834231E-04,.8480911523834231E-04
1,7,.000000000000000,.000000000000000,-.8306598456484739E-04,.8306598456484739E-04
1,8,.000000000000000,.000000000000000,-.8380320710090722E-04,.8380320710090722E-04
1,9,.000000000000000,.000000000000000,-.8812699220901409E-04,.8812699220901409E-04
1,10,.000000000000000,.000000000000000,-.8450283025664520E-04,.8450283025664520E-04
1,11,.000000000000000,.000000000000000,-.8797560437975781E-04,.8797560437975781E-04
1,12,.000000000000000,.000000000000000,-.7705364445575389E-04,.7705364445575389E-04
1,13,.000000000000000,.000000000000000,-.9158338977010792E-04,.9158338977010792E-04
1,14,.000000000000000,.000000000000000,-.1221248627930718E-03,.1221248627930718E-03
1,15,.000000000000000,.000000000000000,-.1018968373348892E-03,.1018968373348892E-03
1,16,.000000000000000,.000000000000000,-.8972257109120368E-04,.8972257109120368E-04
1,17,.000000000000000,.000000000000000,-.8078516069452487E-04,.8078516069452487E-04
1,18,.000000000000000,.000000000000000,-.8567983493494924E-04,.8567983493494924E-04
1,19,.000000000000000,.000000000000000,-.8618513111230598E-04,.8618513111230598E-04
1,20,.000000000000000,.000000000000000,-.8266432612239585E-04,.8266432612239585E-04
1,21,.000000000000000,.000000000000000,-.8405285631638667E-04,.8405285631638667E-04
1,22,.000000000000000,.000000000000000,-.8629988124115550E-04,.8629988124115550E-04
1,23,.000000000000000,.000000000000000,-.8447929781744992E-04,.8447929781744992E-04
1,24,.000000000000000,.000000000000000,-.7435246035754443E-04,.7435246035754443E-04
1,25,.000000000000000,.000000000000000,-.8567752158970474E-04,.8567752158970474E-04
1,26,.000000000000000,.000000000000000,-.8198916926865799E-04,.8198916926865799E-04
1,27,.000000000000000,.000000000000000,-.8319908705968750E-04,.8319908705968750E-04
1,28,.000000000000000,.000000000000000,-.7912434806976760E-04,.7912434806976760E-04
1,29,.000000000000000,.000000000000000,-.7831517728799801E-04,.7831517728799801E-04
1,30,.000000000000000,.000000000000000,-.7864273904367958E-04,.7864273904367958E-04
1,31,.000000000000000,.000000000000000,-.7679453942951173E-04,.7679453942951173E-04
1,32,.000000000000000,.000000000000000,-.8542950054730331E-04,.8542950054730331E-04
1,33,.000000000000000,.000000000000000,-.8183391632220762E-04,.8183391632220762E-04
1,34,.000000000000000,.000000000000000,-.8061434460747936E-04,.8061434460747936E-04
1,35,.000000000000000,.000000000000000,-.1846142443859888E-03,.1846142443859888E-03
1,36,.000000000000000,.000000000000000,-.1739271992649907E-03,.1739271992649907E-03
1,37,.000000000000000,.000000000000000,-.2207960232163601E-03,.2207960232163601E-03
1,38,.000000000000000,.000000000000000,-.2975985297126614E-03,.2975985297126614E-03
1,39,.000000000000000,.000000000000000,-.3394113470042684E-03,.3394113470042684E-03
1,40,.000000000000000,.000000000000000,-.3176723313307078E-03,.3176723313307078E-03
1,41,.000000000000000,.000000000000000,-.3175450324958689E-03,.3175450324958689E-03
1,42,.000000000000000,.000000000000000,-.4199753482126114E-03,.4199753482126114E-03
1,43,.000000000000000,.000000000000000,-.5407736031958094E-03,.5407736031958094E-03
1,44,.000000000000000,.000000000000000,-.5108358185533399E-03,.5108358185533399E-03
1,45,.000000000000000,.000000000000000,-.5323525668453587E-03,.5323525668453587E-03
1,46,.000000000000000,.000000000000000,-.3770630031306700E-03,.3770630031306700E-03
1,47,.000000000000000,.000000000000000,-.2806905985166408E-03,.2806905985166408E-03
1,48,.000000000000000,.000000000000000,-.3509243094590242E-03,.3509243094590242E-03
1,49,.000000000000000,.000000000000000,-.3636689344388352E-03,.3636689344388352E-03
1,50,.000000000000000,.000000000000000,-.2125884382657489E-03,.2125884382657489E-03
1,51,.000000000000000,.000000000000000,-.1999106708488629E-03,.1999106708488629E-03
1,52,.000000000000000,.000000000000000,-.1506764245014336E-03,.1506764245014336E-03
1,53,.000000000000000,.000000000000000,-.8272129483303098E-04,.8272129483303098E-04
1,54,.000000000000000,.000000000000000,-.8304383982255175E-04,.8304383982255175E-04
1,55,.000000000000000,.000000000000000,-.8528746092388598E-04,.8528746092388598E-04
1,56,.000000000000000,.000000000000000,-.7859412002291145E-04,.7859412002291145E-04
1,57,.000000000000000,.000000000000000,-.8183280028086167E-04,.8183280028086167E-04
1,58,.000000000000000,.000000000000000,-.8991628274624699E-04,.8991628274624699E-04
1,59,.000000000000000,.000000000000000,-.8201587255335727E-04,.8201587255335727E-04
1,60,.000000000000000,.000000000000000,-.1601539659372021E-03,.1601539659372021E-03
1,61,.000000000000000,.000000000000000,-.1340616631300499E-03,.1340616631300499E-03
1,62,.000000000000000,.000000000000000,-.1320237341962014E-03,.1320237341962014E-03
1,63,.000000000000000,.000000000000000,-.1913778811266341E-03,.1913778811266341E-03
1,64,.000000000000000,.000000000000000,-.3717252386180767E-03,.3717252386180767E-03
1,65,.000000000000000,.000000000000000,-.6029783638954314E-03,.6029783638954314E-03
1,66,.000000000000000,.000000000000000,-.9729034497405298E-03,.9729034497405298E-03
1,67,.000000000000000,.000000000000000,-.1167685551040464E-02,.1167685551040464E-02
1,68,.000000000000000,.000000000000000,-.1170998807643361E-02,.1170998807643361E-02
1,69,.000000000000000,.000000000000000,-.1366716146186379E-02,.1366716146186379E-02
1,70,.000000000000000,.000000000000000,-.1731508814287996E-02,.1731508814287996E-02
1,71,.000000000000000,.000000000000000,-.1667916138100295E-02,.1667916138100295E-02
1,72,.000000000000000,.000000000000000,-.1476763536019203E-02,.1476763536019203E-02
1,73,.000000000000000,.000000000000000,-.1464856494729885E-02,.1464856494729885E-02
1,74,.000000000000000,.000000000000000,-.1235619170035003E-02,.1235619170035003E-02
1,75,.000000000000000,.000000000000000,-.1323345375222448E-02,.1323345375222448E-02
1,76,.000000000000000,.000000000000000,-.1341539307863605E-02,.1341539307863605E-02
1,77,.000000000000000,.000000000000000,-.1182672949347361E-02,.1182672949347361E-02
1,78,.000000000000000,.000000000000000,-.7701513227350107E-03,.7701513227350107E-03
1,79,.000000000000000,.000000000000000,-.6175566304570603E-03,.6175566304570603E-03
1,80,.000000000000000,.000000000000000,-.3174260654533122E-03,.3174260654533122E-03
1,81,.000000000000000,.000000000000000,-.1354434455660705E-03,.1354434455660705E-03
1,82,.000000000000000,.000000000000000,-.1076544135277392E-03,.1076544135277392E-03
1,83,.000000000000000,.000000000000000,-.8304357259873360E-04,.8304357259873360E-04
1,84,.000000000000000,.000000000000000,-.8501388539677743E-04,.8501388539677743E-04
1,85,.000000000000000,.000000000000000,-.8490244546257730E-04,.8490244546257730E-04
1,86,.000000000000000,.000000000000000,-.8214519865820082E-04,.8214519865820082E-04
1,87,.000000000000000,.000000000000000,-.1802039458683685E-03,.1802039458683685E-03
1,88,.000000000000000,.000000000000000,-.2215081317203456E-03,.2215081317203456E-03
1,89,.000000000000000,.000000000000000,-.1962613823191487E-03,.1962613823191487E-03
1,90,.000000000000000,.000000000000000,-.2848189634986174E-03,.2848189634986174E-03
1,91,.000000000000000,.000000000000000,-.5252824441503909E-03,.5252824441503909E-03
1,92,.000000000000000,.000000000000000,-.8585098981630445E-03,.8585098981630445E-03
1,93,.000000000000000,.000000000000000,-.1226456519911458E-02,.1226456519911458E-02
1,94,.000000000000000,.000000000000000,-.1366797996620004E-02,.1366797996620004E-02
1,95,.000000000000000,.000000000000000,-.1543840871770286E-02,.1543840871770286E-02
1,96,.000000000000000,.000000000000000,-.1565502895417424E-02,.1565502895417424E-02
1,97,.000000000000000,.000000000000000,-.2018250112726661E-02,.2018250112726661E-02
1,98,.000000000000000,.000000000000000,-.2303084660929088E-02,.2303084660929088E-02
1,99,.000000000000000,.000000000000000,-.1825634800393388E-02,.1825634800393388E-02
1,100,.000000000000000,.000000000000000,-.1638383487647466E-02,.1638383487647466E-02
1,101,.000000000000000,.000000000000000,-.1662993328895784E-02,.1662993328895784E-02
1,102,.000000000000000,.000000000000000,-.1931544227249236E-02,.1931544227249236E-02
1,103,.000000000000000,.000000000000000,-.1386802444546872E-02,.1386802444546872E-02
1,104,.000000000000000,.000000000000000,-.1562045608451253E-02,.1562045608451253E-02
1,105,.000000000000000,.000000000000000,-.1173299818040050E-02,.1173299818040050E-02
1,106,.000000000000000,.000000000000000,-.1477855944904886E-02,.1477855944904886E-02
