shuffle_id,status,max_real_part,min_kappa_in,min_kappa_out
1,stable,-45.28964862285648,-40.71035137714352,-19.52381790895015
2,stable,-46.11554217039884,-39.88445782960116,-17.22753501273110
3,stable,-45.33635050521480,-40.66364949478520,-16.84029231611930
4,stable,-45.27688308275538,-40.72311691724462,-17.36691561762564
5,stable,-46.55186470918852,-39.44813529081148,-16.02144348644651
6,stable,-47.63729959847842,-38.36270040152158,-19.21398562900140
7,stable,-46.67072854291837,-39.32927145708163,-17.00518988701515
8,stable,-43.87211147621565,-42.12788852378435,-16.80545021229773
9,stable,-47.42138078609969,-38.57861921390031,-17.69300827186089
10,stable,-42.72463600439369,-43.27536399560631,-18.38052929489641
11,stable,-44.11319199434365,-41.88680800565635,-17.83902791910805
12,stable,-46.09731012406701,-39.90268987593299,-17.77986871561734
13,stable,-44.83811493133544,-41.16188506866456,-16.73417488024279
14,stable,-48.05537630353138,-37.94462369646862,-18.43594774138182
15,stable,-46.80194476700854,-39.19805523299146,-16.41839731187792
16,stable,-48.49591246224009,-37.50408753775991,-17.01724022463895
17,stable,-46.82258747128071,-39.17741252871929,-16.24905944825150
18,stable,-47.04233626715722,-38.95766373284278,-16.21794852387393
19,stable,-47.90422271612624,-38.09577728387376,-17.05422277405160
20,stable,-45.50583139256923,-40.49416860743077,-16.94424868165515
21,stable,-47.03519579177373,-38.96480420822627,-17.20372350931575
22,stable,-44.73097879992565,-41.26902120007435,-17.09644744294928
23,stable,-45.49209050793434,-40.50790949206566,-16.85789113509236
24,stable,-46.53438414362608,-39.46561585637392,-17.19581360711163
25,stable,-45.69256509540719,-40.30743490459281,-16.62179616547655
26,stable,-48.31369554739649,-37.68630445260351,-18.06897549529094
27,stable,-47.30649518055725,-38.69350481944275,-18.74330551669118
28,stable,-44.03472301833972,-41.96527698166028,-17.29068886979076
29,stable,-43.90018986024734,-42.09981013975266,-20.88923191593494
30,stable,-46.44290947955233,-39.55709052044767,-17.73270871108980
31,stable,-44.87942210525216,-41.12057789474784,-18.48965631650935
32,stable,-48.82535306195496,-37.17464693804504,-18.89326450100634
33,stable,-44.48964879244159,-41.51035120755841,-19.41980776772834
34,stable,-46.12361494776269,-39.87638505223731,-18.00282899476588
